anor	<i>noun</i><br><ol><li>pomegranate</li></ol>
Ё|ё|Yo|yo	<i>character</i><br><ol><li>The eighth letter of the Tajik alphabet, written in the Cyrillic script.</li></ol>
А|а|a	<i>character</i><br><ol><li>The first letter of the Tajik alphabet, written in the Cyrillic script.</li></ol>
Абузабӣ|Abuzabī	<i>name</i><br><ol><li>Abu Dhabi (the capital city of the United Arab Emirates; capital city of Abu Dhabi Emirate, United Arab Emirates)</li><li>Abu Dhabi (an emirate of the United Arab Emirates, the largest of the seven emirates)</li></ol>
Абхозия|Abxoziya	<i>name</i><br><ol><li>Abkhazia</li></ol>
Аврангобод|Avrangobod	<i>name</i><br><ol><li>Aurangabad (a district of Maharashtra, India).</li><li>Aurangabad (a large city, the headquarters of Aurangabad district, Maharashtra, India)</li></ol>
Аврупо|Avrupo	<i>name</i><br><ol><li>Europe</li></ol>
Австралия|Avstraliya	<i>name</i><br><ol><li>Australia (a country in Oceania)</li><li>Australia (a continent)</li></ol>
Албурз|Alburz	<i>name</i><br><ol><li>Alborz (a province of Iran)</li></ol>
Алҷазоир|Aljazoyir	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Амрико|Amriko	<i>name</i><br><ol><li>America (the continents of North America and South America)</li><li>America, United States of America (a country in North America)</li></ol>
Амрикои Шимолӣ|Amrikoyi Šimolī	<i>name</i><br><ol><li>North America</li></ol>
Амрикои Ҷанубӣ|Amrikoyi Janubī	<i>name</i><br><ol><li>South America</li></ol>
Антилёс|Antilyos	<i>name</i><br><ol><li>Antilyas (city in Lebanon)</li></ol>
Арабистони Саудӣ|Arabistoni Saudī	<i>name</i><br><ol><li>Saudi Arabia</li></ol>
Ардабил|Ardabil	<i>name</i><br><ol><li>Ardabil (the capital city of Ardabil Province, Iran)</li><li>Ardabil (a province of Iran)</li></ol>
Арманистон|Armaniston	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Африқо|Afriqo	<i>name</i><br><ol><li>Africa (a continent)</li></ol>
Афғонистон|Afġoniston	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Ашқобод|Ašqobod	<i>name</i><br><ol><li>Ashgabat (the capital city of Turkmenistan)</li></ol>
Аҳвоз|Ahvoz	<i>name</i><br><ol><li>Ahvaz (a city in Iran)</li></ol>
Аҳмадобод|Ahmadobod	<i>name</i><br><ol><li>Ahmedabad (the largest city in Gujarat, India)</li></ol>
Б|б|b|B	<i>character</i><br><ol><li>The second letter of the Tajik alphabet, written in the Cyrillic script.</li></ol>
Бадахшон|Badaxšon	<i>name</i><br><ol><li>Badakhshan</li><li>Badakhshan (a province of Afghanistan)</li><li>Badakhshan (a province of Tajikistan)</li></ol>
Байрут|Bayrut	<i>name</i><br><ol><li>Beirut (the capital city of Lebanon)</li></ol>
Балучистон|Balučiston	<i>name</i><br><ol><li>Balochistan</li></ol>
Банглодеш|Banglodeš	<i>name</i><br><ol><li>Bangladesh (a country in Asia)</li></ol>
Бангола|Bangola	<i>name</i><br><ol><li>Bengal (a region in the northeast of South Asia)</li></ol>
Баъл|Baʾl	<i>name</i><br><ol><li>Baal</li></ol>
Бағдод|Baġdod	<i>name</i><br><ol><li>Baghdad (the capital city of Iraq)</li></ol>
Баҳрайн|Bahrayn	<i>name</i><br><ol><li>Bahrain (a country in Asia)</li></ol>
Бейрут|Beyrut	<i>name</i><br><ol><li>Beirut (the capital city of Lebanon)</li></ol>
Беларус|Belarus	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Библия|Bibliya	<i>name</i><br><ol><li>(Christianity) Bible</li></ol>
Богота	<i>name</i><br><ol><li>Bogota (the capital city of Colombia)</li></ol>
Братислава|Bratislava	<i>name</i><br><ol><li>Bratislava (the capital and largest city of Slovakia)</li></ol>
Бритониё|Britoniyo	<i>name</i><br><ol><li>Britain; Great Britain</li></ol>
Булғористон|Bulġoriston	<i>name</i><br><ol><li>Bulgaria</li></ol>
Бурунди|Burundi	<i>name</i><br><ol><li>Burundi (a country in Africa)</li></ol>
Бухарест|Buxarest	<i>name</i><br><ol><li>Bucharest (the capital and largest city of Romania)</li></ol>
Бухоро|Buxoro	<i>name</i><br><ol><li>Bukhara (a city in Uzbekistan)</li></ol>
Бушаҳр|Bušahr	<i>name</i><br><ol><li>Bushehr (a city in Iran)</li><li>Bushehr (a province of Iran)</li></ol>
В|V|в|v	<i>character</i><br><ol><li>The third letter of the Tajik alphabet, written in the Cyrillic script.</li></ol>
Вазиристон|Vaziriston	<i>name</i><br><ol><li>Waziristan</li></ol>
Викимедиа|Vikimedia	<i>name</i><br><ol><li>Wikimedia</li></ol>
Википедиа|Vikipedia	<i>name</i><br><ol><li>Wikipedia</li></ol>
Вотикон|Votikon	<i>name</i><br><ol><li>the Vatican, Vatican City (a city-state in Southern Europe, an enclave within the city of Rome, Italy)</li></ol>
Г|g|г	<i>character</i><br><ol><li>The fourth letter of the Tajik alphabet, written in the Cyrillic script.</li></ol>
Гурҷистон|Gurjiston	<i>name</i><br><ol><li>Georgia</li></ol>
Д|d|д|D	<i>character</i><br><ol><li>The sixth letter of the Tajik alphabet, written in the Cyrillic script.</li></ol>
Далмотия|Dalmotiya	<i>name</i><br><ol><li>Dalmatia</li></ol>
Деҳлӣ|Dehlī	<i>name</i><br><ol><li>Delhi (a megacity and union territory of India, containing the national capital New Delhi)</li></ol>
Димишқ|Dimišq	<i>name</i><br><ol><li>Damascus (the capital city of Syria)</li></ol>
Доғистон|Doġiston	<i>name</i><br><ol><li>Dagestan</li></ol>
Душанбе|Dušanbe	<i>name</i><br><ol><li>Dushanbe (the capital city of Tajikistan)</li></ol>
Дуҳа|Duha	<i>name</i><br><ol><li>Doha (the capital city of Qatar)</li></ol>
Е|е|E|e	<i>character</i><br><ol><li>The seventh letter of the Tajik alphabet, written in the Cyrillic script.</li></ol>
Ереван|Yerevan	<i>name</i><br><ol><li>Yerevan (the capital city of Armenia)</li></ol>
Ж|ж|ž|Ž	<i>character</i><br><ol><li>The ninth letter of the Tajik alphabet, written in the Cyrillic script.</li></ol>
