A|a	<i>character</i><br><ol><li>The first letter of the Upper Sorbian alphabet, called a and written in the Latin script.</li></ol>
Afrika|Afriki|Africe|Afriku	<i>name</i><br><ol><li>Africa</li></ol>
Afričan	<i>noun</i><br><ol><li>African (man)</li></ol>
Afričanka	<i>noun</i><br><ol><li>African (woman)</li></ol>
Albanska	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Awstralija	<i>noun</i><br><ol><li>Australia (a continent)</li></ol>
Awstralska	<i>noun</i><br><ol><li>Australia (a country in Oceania)</li></ol>
Awstralčan	<i>noun</i><br><ol><li>Australian (man)</li></ol>
Awstralčanka	<i>noun</i><br><ol><li>Australian (woman)</li></ol>
Azija|Azije|Aziji|Aziju	<i>name</i><br><ol><li>Asia</li></ol>
Budyšin	<i>name</i><br><ol><li>Bautzen</li></ol>
Chorwatska	<i>name</i><br><ol><li>Croatia</li></ol>
Dalmaciska	<i>name</i><br><ol><li>Dalmatia</li></ol>
Danska	<i>name</i><br><ol><li>Denmark</li></ol>
Estiska	<i>name</i><br><ol><li>Estonia</li></ol>
Färöje	<i>name</i><br><ol><li>Faroe Islands</li></ol>
Hawštyn|Hawštynom|Hawštynow|Hawštyna|Hawštynami|Hawštynomaj|Hawštynojo|Hawštynje|Hawštynam|Hawštynej|Hawštynach|Hawštynaj	<i>name</i><br><ol><li>Swjaty Hawštyn (Saint Augustine, 354–430)</li></ol>
Jeruzalem	<i>name</i><br><ol><li>Jerusalem (the claimed (and de-facto) capital city of Israel; the claimed capital city of Palestine)</li></ol>
Južna Amerika	<i>name</i><br><ol><li>South America</li></ol>
Kuba	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Němska	<i>name</i><br><ol><li>Germany</li></ol>
Panchen Lama	<i>noun</i><br><ol><li>Panchen Lama</li></ol>
Pólska	<i>name</i><br><ol><li>Poland</li></ol>
Tadźikistan|Tadźikistanej|Tadźikistana|Tadźikistanom|Tadźikistanu	<i>name</i><br><ol><li>Tajikistan</li></ol>
Waršawa	<i>name</i><br><ol><li>Warsaw (the capital city of Poland)</li></ol>
Wikisłownik	<i>name</i><br><ol><li>Wiktionary.</li></ol>
Zhorjelc	<i>name</i><br><ol><li>Görlitz</li></ol>
a	<i>conj</i><br><ol><li>and</li><li>the (establishing a parallel between two comparatives)</li></ol>
abo	<i>conj</i><br><ol><li>or</li></ol>
adresa|adresach|adresomaj|adresam|adresu|adresy|adresow|adresami	<i>noun</i><br><ol><li>address (direction for letters)</li></ol>
akuzatiw	<i>noun</i><br><ol><li>(grammar) accusative case</li></ol>
ale	<i>conj</i><br><ol><li>but</li></ol>
apryl	<i>name</i><br><ol><li>April</li></ol>
awto|awtami|awtach|awtam|awtu|awtomaj|awtow|awće|awtom|awta	<i>noun</i><br><ol><li>automobile, car</li></ol>
awtor|awtorom|awtoromaj|equivalent awtorka|awtorach|awtorow|awtoraj|awtorami|awtorje|awtoram|awtory|awtorej|awtora	<i>noun</i><br><ol><li>author</li></ol>
baba	<i>noun</i><br><ol><li>old woman, grandmother</li><li>midwife</li><li>dough, pastry</li><li>pelican (bird)</li></ol>
banja	<i>noun</i><br><ol><li>something bubbly</li><li>pumpkin</li><li>jug</li></ol>
baćon	<i>noun</i><br><ol><li>stork (bird)</li></ol>
biblioteka	<i>noun</i><br><ol><li>library</li></ol>
bić	<i>verb</i><br><ol><li>to beat</li></ol>
bjedro	<i>noun</i><br><ol><li>loin</li><li>thigh</li><li>hip</li></ol>
bohaty|bohateho|bohaći|bohate|bohateje|bohatym|bohatymaj|bohatej|bohatu|bohataj|bohatemu|bohatymi|bohateju|bohatych|bohata	<i>adj</i><br><ol><li>rich</li></ol>
bor	<i>noun</i><br><ol><li>(colloquial) foxtail millet (Setaria italica)</li></ol>
boran	<i>noun</i><br><ol><li>ram</li></ol>
bozanka	<i>noun</i><br><ol><li>elder (Sambucus)</li></ol>
bratr|bratra|bratrow|bratrach|bratrom|bratrami|bratromaj|bratram|bratrej|bratrojo|bratraj|bratře	<i>noun</i><br><ol><li>brother</li></ol>
brjuch	<i>noun</i><br><ol><li>belly (abdomen)</li></ol>
brjóh	<i>noun</i><br><ol><li>shore, coast</li></ol>
broda	<i>noun</i><br><ol><li>beard</li><li>chin</li></ol>
brodaty|brodatymi|brodata|brodateje|brodateju|brodatymaj|brodatu|brodatej|brodateho|brodataj|brodatych|brodatemu|brodatym|brodaći|brodate	<i>adj</i><br><ol><li>bearded</li></ol>
bród|brodam|brodom|brodami|brodźe|brodach|brodomaj|brodaj|brodow|brody|brodej|brodu|broda	<i>noun</i><br><ol><li>ford</li></ol>
bróna	<i>noun</i><br><ol><li>harrow</li></ol>
brózda	<i>noun</i><br><ol><li>furrow</li></ol>
bróń	<i>noun</i><br><ol><li>weapon</li></ol>
brěza	<i>noun</i><br><ol><li>birch</li></ol>
bydło	<i>noun</i><br><ol><li>residence, domicile</li></ol>
być	<i>verb</i><br><ol><li>to be</li></ol>
bóh	<i>noun</i><br><ol><li>god</li></ol>
ból	<i>noun</i><br><ol><li>pain</li></ol>
bóz	<i>noun</i><br><ol><li>One of several plant species, mostly in the genus Sambucus.</li></ol>
běły|běłeje|běłym|běłych|běłaj|běłej|běli|běłe|běłymi|běłymaj|běłeju|běła|běłu|běłeho|běłemu	<i>adj</i><br><ol><li>white</li></ol>
błysk	<i>noun</i><br><ol><li>lightning</li></ol>
błóto	<i>noun</i><br><ol><li>mud, dirt</li></ol>
cachor	<i>noun</i><br><ol><li>Any sedge of the genus Cyperus.</li></ol>
cej	<i>noun</i><br><ol><li>The name of the Latin-script letter C.</li></ol>
chcyć|zechcyć	<i>verb</i><br><ol><li>to want</li></ol>
chlěb|chlěba|chlěby|chlěbow|chlěbom|chlěbach|chlěbu|chlěbje|chlěbam|chlěbej|chlěbomaj|chlěbami|chlěbaj	<i>noun</i><br><ol><li>bread</li></ol>
chodźić	<i>verb</i><br><ol><li>to go (on foot)</li></ol>
chort	<i>noun</i><br><ol><li>hound</li></ol>
chory	<i>adj</i><br><ol><li>ill, sick</li></ol>
chudy|chudeho|chudeju|chudźi|chudej|chudaj|chudeje|chudymi|chudym|chudemu|chude|chudymaj|chudu|chudych|chuda	<i>adj</i><br><ol><li>poor</li></ol>
chwała	<i>noun</i><br><ol><li>glory</li></ol>
chójna	<i>noun</i><br><ol><li>pine (any conifer in the genus Pinus)</li></ol>
chěža|chěžemi|chěžach|chěžam|chěže|chěžow|chěžu|chěži|chěžomaj	<i>noun</i><br><ol><li>house</li><li>corridor, landing</li></ol>
chłódźak	<i>noun</i><br><ol><li>refrigerator</li></ol>
cybla	<i>noun</i><br><ol><li>onion</li></ol>
cycak	<i>noun</i><br><ol><li>mammal</li></ol>
dedukować	<i>verb</i><br><ol><li>to deduce, to infer</li></ol>
delnjoserbski	<i>adj</i><br><ol><li>Lower Sorbian</li></ol>
dešć	<i>noun</i><br><ol><li>rain (condensed water falling from a cloud)</li></ol>
dno	<i>noun</i><br><ol><li>bottom</li></ol>
dobry|dobraj|dobra|dobreje|dobremu|dobrym|dobreho|dobru|dobrymaj|dobrej|dobre|dobrych|dobrymi|dobri|dobreju	<i>adj</i><br><ol><li>good</li></ol>
dołhi	<i>adj</i><br><ol><li>long</li></ol>
drasta	<i>noun</i><br><ol><li>clothing</li></ol>
drjewo	<i>noun</i><br><ol><li>wood, lumber</li></ol>
druhi	<i>adj</i><br><ol><li>second</li></ol>
dróha|droha	<i>noun</i><br><ol><li>road</li></ol>
drózn|droznaj|droznow|droznam|droznej|droznami|droznomaj|droznje|drozna|droznach|drozny|droznom	<i>noun</i><br><ol><li>thrush</li></ol>
durje	<i>noun</i><br><ol><li>door</li></ol>
dwaceći|dwaceći f and	<i>num</i><br><ol><li>twenty</li></ol>
dwaj|dwě	<i>num</i><br><ol><li>two</li></ol>
dwanaće|dwanaće f and	<i>num</i><br><ol><li>twelve</li></ol>
dym	<i>noun</i><br><ol><li>smoke</li></ol>
dłóń|dłónjach|dłónje|dłónjomaj|dłónjemi|dłónjam|dłóni|dłónju|dłónjow|dłonje	<i>noun</i><br><ol><li>palm</li></ol>
dź|Dź	<i>character</i><br><ol><li>The seventh letter of the Upper Sorbian alphabet, called dźej or dźet and written in the Latin script.</li></ol>
dźensa	<i>adv</i><br><ol><li>today</li></ol>
dźesaty	<i>adj</i><br><ol><li>tenth</li></ol>
dźesać|dźesać f and	<i>num</i><br><ol><li>ten</li></ol>
dźewjatnaće|dźewjatnaće f and	<i>num</i><br><ol><li>nineteen</li></ol>
dźewjaty	<i>adj</i><br><ol><li>ninth</li></ol>
dźewjeć|dźewjeć f and	<i>num</i><br><ol><li>nine</li></ol>
dźeń	<i>noun</i><br><ol><li>day</li></ol>
dźowka|dźowčička|dźowce|dźowkami|dźowkach|dźowkow|dźowkam|dźowkomaj|dźowku|dźowki	<i>noun</i><br><ol><li>daughter</li><li>maid; female servant, especially on a farm</li></ol>
dźěd	<i>noun</i><br><ol><li>grandfather</li></ol>
dźěra	<i>noun</i><br><ol><li>hole, cavity</li></ol>
dźěćatstwo	<i>noun</i><br><ol><li>childhood</li></ol>
dźěćo|dźěćom|dźěsćow|dźěćoch|dźěsći|dźěći|dźěsću|dźěćimi|dźěsćomaj|dźěsća|dźěsćom	<i>noun</i><br><ol><li>child</li></ol>
dźěćowstwo	<i>noun</i><br><ol><li>childhood</li></ol>
dźěłać	<i>verb</i><br><ol><li>(intransitive) work</li></ol>
eł	<i>noun</i><br><ol><li>The name of the Latin-script letter Ł.</li></ol>
eř	<i>noun</i><br><ol><li>The name of the Latin-script letter Ř.</li></ol>
fonem	<i>noun</i><br><ol><li>phoneme</li></ol>
francoski	<i>adj</i><br><ol><li>French</li></ol>
had	<i>noun</i><br><ol><li>snake, serpent</li></ol>
hawron	<i>noun</i><br><ol><li>rook (Corvus frugilegus)</li></ol>
hałuza|hałza	<i>noun</i><br><ol><li>branch</li></ol>
hdy	<i>adv</i><br><ol><li>when</li></ol>
hdźe	<i>adv</i><br><ol><li>where</li></ol>
hebrejski	<i>adj</i><br><ol><li>Hebrew</li></ol>
hić	<i>verb</i><br><ol><li>to go (on foot)</li></ol>
hlina	<i>noun</i><br><ol><li>clay</li></ol>
hlista	<i>noun</i><br><ol><li>tapeworm</li></ol>
hnida	<i>noun</i><br><ol><li>nit (egg of a louse)</li></ol>
hnězdo|hnězda|hnězdami|hnězdźe|hnězdu|hnězdomaj|hnězdom|hnězdam|hnězdach|hnězdow	<i>noun</i><br><ol><li>nest</li></ol>
hojawa	<i>noun</i><br><ol><li>sanicle (any plant of the genus Sanicula)</li></ol>
homoła	<i>noun</i><br><ol><li>(botany) spadix</li></ol>
horb	<i>noun</i><br><ol><li>hump, hunch</li></ol>
horbaty	<i>adj</i><br><ol><li>humpbacked, hunchbacked</li></ol>
hordy|horda|horde	<i>adj</i><br><ol><li>proud (gratified, feeling honoured, feeling satisfied)</li></ol>
hordło	<i>noun</i><br><ol><li>throat</li></ol>
hornjoserbski	<i>adj</i><br><ol><li>Upper Sorbian</li></ol>
hornjoserbšćina	<i>noun</i><br><ol><li>Upper Sorbian language</li></ol>
howno	<i>noun</i><br><ol><li>excrement</li></ol>
hołb	<i>noun</i><br><ol><li>dove, pigeon</li></ol>
hranica	<i>noun</i><br><ol><li>border</li></ol>
hrać|zahrać	<i>verb</i><br><ol><li>to play</li></ol>
hriwa	<i>noun</i><br><ol><li>mane</li></ol>
hroza|hrozy|hrozam|hrozomaj|hrozow|hrozu|hrozach|hrozami	<i>noun</i><br><ol><li>horror</li></ol>
hrudź	<i>noun</i><br><ol><li>chest</li></ol>
hrymzak	<i>noun</i><br><ol><li>rodent</li></ol>
hupak	<i>noun</i><br><ol><li>hoopoe (bird)</li></ol>
hus	<i>noun</i><br><ol><li>goose</li></ol>
hwězda	<i>noun</i><br><ol><li>star (luminous dot in the sky; celestial body)</li></ol>
hósć	<i>noun</i><br><ol><li>guest</li></ol>
hładki	<i>adj</i><br><ol><li>smooth</li></ol>
hłowa|hłowje|hłowam|hłowy|hłowami|hłowow|hłowu|hłowomaj|hłowach	<i>noun</i><br><ol><li>head</li></ol>
hłód	<i>noun</i><br><ol><li>hunger</li></ol>
hłós	<i>noun</i><br><ol><li>voice</li></ol>
imje	<i>noun</i><br><ol><li>name</li></ol>
inženjer	<i>noun</i><br><ol><li>engineer</li></ol>
italska	<i>name</i><br><ol><li>Italy</li></ol>
ja|mój|naju|(after preposition) mni|nam|wam|(after preposition) njemu|njeho|(after preposition) nich|nimaj|jeho|(after preposition) tebje|mi|ty|(after preposition) njeho|nim|namaj|wono|(after preposition) njeje|(after preposition) mnje|jeje|wonej|mje|wona|wone|nje|je|æe|jimaj|ju|jej|jeju|waju|wój|(after preposition) tebi|wón|(after preposition) njo|jo|nich|wamaj|wonaj|wy|jich|jemu|was|tobu|wami|tebi|(after preposition) nimaj|(after preposition) nje|njej|nas|my|woni|(after preposition) nim|nami|nimi|æi|mni|(after preposition) njeju|(after preposition) nju|mnu|(after preposition) njón|jim|(after preposition) njej|ja|jón	<i>pron</i><br><ol><li>I</li></ol>
jabrik	<i>noun</i><br><ol><li>water starwort (any plant of the genus Callitriche)</li></ol>
jabłuko	<i>noun</i><br><ol><li>apple</li></ol>
jahoda	<i>noun</i><br><ol><li>berry</li></ol>
