A|А|a|а	<i>character</i><br><ol><li>The first letter of the Chechen alphabet, written in the Latin script.</li></ol>
Q̇|къ|q̇|Къ	<i>character</i><br><ol><li>The twenty-ninth letter of the Chechen alphabet, written in the Latin script.</li></ol>
massanẋara-a proletaraš cẋa bart bejlaš	<i>phrase</i><br><ol><li>workers of the world, unite! (pre-1938 Latin spelling)</li></ol>
q̇|къ|Q̇|Къ	<i>character</i><br><ol><li>The twenty-ninth letter of the Chechen alphabet, written in the Latin script.</li></ol>
Ç̇|ç̇	<i>character</i><br><ol><li>The seventh letter of the Chechen alphabet, written in the Latin script.</li></ol>
ç̇	<i>character</i><br><ol><li>The seventh letter of the Chechen alphabet, written in the Latin script.</li></ol>
Ƶ|ž|ج|ж|Ж|ƶ	<i>character</i><br><ol><li>The fortieth letter of the Chechen alphabet, called ƶe and written in the Latin script.</li></ol>
ƶ|ž|ج|ж|Ж|Ƶ	<i>character</i><br><ol><li>The fortieth letter of the Chechen alphabet, called ƶe and written in the Latin script.</li></ol>
А|а|a	<i>character</i><br><ol><li>The first letter of the Chechen alphabet, written in the Cyrillic script.</li></ol>
Аллахӏ|Allah	<i>name</i><br><ol><li>(Islam) Allah</li></ol>
Б|б|b|B	<i>character</i><br><ol><li>The third letter of the Chechen alphabet, written in the Cyrillic script.</li></ol>
Братислава|Братисла́ва|Bratisláwa	<i>name</i><br><ol><li>Bratislava (the capital and largest city of Slovakia)</li></ol>
В|в|w|W	<i>character</i><br><ol><li>The fourth letter of the Chechen alphabet, written in the Cyrillic script.</li></ol>
Г|g|г	<i>character</i><br><ol><li>The fifth letter of the Chechen alphabet, written in the Cyrillic script.</li></ol>
Гезгмашан-бутт|Gezgmašan-butt	<i>noun</i><br><ol><li>September</li></ol>
Гӏадужу-бутт|Ġadužu-butt	<i>noun</i><br><ol><li>October</li></ol>
Гӏалгӏай|Ġalġaj	<i>name</i><br><ol><li>Ingush people</li></ol>
Гӏалгӏайчоь|Ġalġajčö	<i>name</i><br><ol><li>Ingushetia</li></ol>
Гӏуран-бутт|Ġuran-butt	<i>noun</i><br><ol><li>December</li></ol>
Дечкен-бутт|Dečken-butt	<i>noun</i><br><ol><li>January</li></ol>
Зазадоккху-бутт|Zazadoqːu-butt	<i>noun</i><br><ol><li>March</li></ol>
Ибраьхӏим|Ibrähim	<i>name</i><br><ol><li>(Islam) Abraham</li></ol>
Керста|Kersta	<i>noun</i><br><ol><li>Christian</li></ol>
Керста дин|Kersta din	<i>noun</i><br><ol><li>Christianity</li></ol>
Куба|Kuba	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Лахьанан-бутт|Laḥanan-butt	<i>noun</i><br><ol><li>November</li></ol>
Мажарчоь|Mažarčö	<i>name</i><br><ol><li>Hungary</li></ol>
Мангалан-бутт|Mangalan-butt	<i>noun</i><br><ol><li>June</li></ol>
Марсхьокху-бутт|Marsḥoqu-butt	<i>noun</i><br><ol><li>August</li></ol>
