آدینک|ádénk	<i>noun</i><br><ol><li>mirror</li></ol>
آرگ|árag	<i>verb</i><br><ol><li>to bring</li></ol>
آزمان|ázmán	<i>noun</i><br><ol><li>sky</li></ol>
آس|ás	<i>noun</i><br><ol><li>fire</li><li>flame</li></ol>
آسان|ásán	<i>adj</i><br><ol><li>easy</li></ol>
آسمان|ásmán	<i>noun</i><br><ol><li>sky</li></ol>
آسن|ásan	<i>noun</i><br><ol><li>iron (metal)</li></ol>
آسگ|آست|ásag	<i>verb</i><br><ol><li>to rise (when the sun moves upwards from behind the horizon of a planet as a result of the planet's rotation.)</li></ol>
آپ|áp	<i>noun</i><br><ol><li>water</li></ol>
آچ|ác	<i>noun</i><br><ol><li>fire</li></ol>
آیگ|áyag	<i>verb</i><br><ol><li>to come</li></ol>
ابا|abbá	<i>noun</i><br><ol><li>father</li></ol>
ادا|idá	<i>adv</i><br><ol><li>here</li></ol>
ارزان|arzán	<i>adj</i><br><ol><li>cheap</li><li>inexpensive</li></ol>
ارمان	<i>noun</i><br><ol><li>wish</li><li>desire</li><li>longing</li></ol>
استار|istár|astár	<i>noun</i><br><ol><li>star</li></ol>
استال|istál	<i>noun</i><br><ol><li>star</li></ol>
اسپ|asp	<i>noun</i><br><ol><li>horse</li></ol>
اسپتال	<i>noun</i><br><ol><li>hospital</li></ol>
اسپیت|aspet	<i>adj</i><br><ol><li>white</li></ol>
اشتر|uštar	<i>noun</i><br><ol><li>camel</li></ol>
امب|amb	<i>noun</i><br><ol><li>mango</li></ol>
امیت|omit	<i>noun</i><br><ol><li>hope</li></ol>
انب|anb	<i>noun</i><br><ol><li>mango</li></ol>
انسانی|insání	<i>adj</i><br><ol><li>human</li></ol>
انوں|annõ	<i>adv</i><br><ol><li>now</li></ol>
انگور|angúr	<i>noun</i><br><ol><li>grape</li></ol>
انی|anní	<i>adv</i><br><ol><li>now</li><li>right now</li><li>just now</li></ol>
اپس|aps	<i>noun</i><br><ol><li>horse</li></ol>
اگاں|agá̃n	<i>conj</i><br><ol><li>if</li></ol>
باسک|básk	<i>noun</i><br><ol><li>(anatomy) arm</li></ol>
باندا|bándá	<i>adv</i><br><ol><li>tomorrow</li></ol><br><i>noun</i><br><ol><li>tomorrow</li></ol>
باگ|bág	<i>noun</i><br><ol><li>garden</li></ol>
بت|but	<i>noun</i><br><ol><li>idol</li></ol>
برات|barát	<i>noun</i><br><ol><li>brother</li></ol>
برز|burz	<i>adj</i><br><ol><li>tall</li><li>high</li><li>loud</li></ol>
بروان|burwán	<i>noun</i><br><ol><li>eyebrow</li></ol>
برپ|barp	<i>noun</i><br><ol><li>snow</li></ol>
برگ|برت|barag	<i>verb</i><br><ol><li>to bear</li><li>to carry</li><li>to take</li><li>to take away</li></ol><br><i>noun</i><br><ol><li>mountain.</li></ol>
بعد چہ|ba'd ca|ba'd ce	<i>prep</i><br><ol><li>after</li></ol>
بلبل|bulbul	<i>noun</i><br><ol><li>nightingale</li><li>bulbul</li></ol>
بلوچِستان	<i>noun</i><br><ol><li>Baluchistan</li></ol>
بلوچی|Baločî	<i>name</i><br><ol><li>Baluchi (language)</li></ol>
بلۏچ	<i>name</i><br><ol><li>Balochi</li></ol>
بوگ|bawag|buwag|بوت|buag	<i>verb</i><br><ol><li>to be (See the Usage Notes)</li><li>to exist</li><li>to become</li><li>(in passive constructions) to be</li></ol>
بیر|bír	<i>noun</i><br><ol><li>lightning</li></ol>
بیرک	<i>noun</i><br><ol><li>flag</li></ol>
بیست|bíst	<i>num</i><br><ol><li>twenty</li></ol>
بینگ|bénag	<i>noun</i><br><ol><li>honey</li></ol>
بیگ|bayag|biag	<i>verb</i><br><ol><li>to be (See the Usage Notes)</li><li>to exist</li><li>to become</li><li>(in passive constructions) to be</li></ol>
بیگاه|bigāh	<i>noun</i><br><ol><li>afternoon</li></ol>
تاج|táj	<i>noun</i><br><ol><li>crown</li></ol>
ترسگ|tursag|tarsag	<i>verb</i><br><ol><li>to fear</li></ol>
ترسینگ|tarínsag|turínsag	<i>verb</i><br><ol><li>to frighten</li><li>to scare</li></ol>
ترنج|trunj	<i>noun</i><br><ol><li>citron</li></ol>
توار|tawár	<i>noun</i><br><ol><li>sound</li><li>voice</li></ol>
تہار|tahár	<i>adj</i><br><ol><li>dark</li></ol>
تیار|tayár	<i>adj</i><br><ol><li>ready</li></ol>
تیلگ|tilag	<i>noun</i><br><ol><li>eye</li></ol>
جاتو|játú	<i>noun</i><br><ol><li>magic</li><li>enchantment</li></ol>
جادو|jádú	<i>noun</i><br><ol><li>magic</li><li>enchantment</li></ol>
جادوگر	<i>noun</i><br><ol><li>magician</li></ol>
جر|jarr	<i>noun</i><br><ol><li>plant</li><li>vegetable</li><li>herb</li></ol>
جست|just	<i>noun</i><br><ol><li>question</li></ol>
جمبر|jambar	<i>noun</i><br><ol><li>cloud</li></ol>
جمر|jammar|jamar	<i>noun</i><br><ol><li>cloud</li></ol>
جن|jan	<i>noun</i><br><ol><li>woman</li></ol>
جناور|jináwar	<i>noun</i><br><ol><li>animal</li></ol>
جنت|jannat	<i>noun</i><br><ol><li>paradise, heaven</li></ol>
جنجشک|jinjišk	<i>noun</i><br><ol><li>sparrow</li></ol>
جنک|janik|jinik	<i>noun</i><br><ol><li>girl, gal, lass, maid</li></ol>
جنگ|janag|jang	<i>noun</i><br><ol><li>war</li></ol><br><i>verb</i><br><ol><li>to hit</li></ol>
جو|joho	<i>noun</i><br><ol><li>barley</li></ol>
جواب|jawáb	<i>noun</i><br><ol><li>answer, reply</li></ol>
جوان|jawán	<i>adj</i><br><ol><li>young</li></ol>
جوڑ کنگ|jawř kanag	<i>verb</i><br><ol><li>to make</li><li>to build</li><li>to construct</li></ol>
جڑ|juř	<i>noun</i><br><ol><li>cloud</li></ol>
جگر|jigar|jagar	<i>noun</i><br><ol><li>liver</li></ol>
جہاز|jaház	<i>noun</i><br><ol><li>ship</li></ol>
جہد	<i>noun</i><br><ol><li>try</li><li>attempt</li><li>effort</li><li>endeavour</li><li>labor</li></ol>
جیڑگ	<i>verb</i><br><ol><li>to think</li></ol>
خدا|xuda	<i>noun</i><br><ol><li>God, god</li></ol>
دار|dár	<i>noun</i><br><ol><li>wood</li><li>stick</li></ol>
دارگ|dárag	<i>verb</i><br><ol><li>to have</li></ol>
دامن|dáman	<i>noun</i><br><ol><li>skirt</li></ol>
دانش آموز	<i>noun</i><br><ol><li>student</li><li>pupil</li></ol>
دتھاں	<i>noun</i><br><ol><li>tooth</li></ol>
دراج|dráj|daráj	<i>adj</i><br><ol><li>long</li><li>tall</li></ol>
دراژ|daráž|dráž	<i>adj</i><br><ol><li>long</li><li>tall</li></ol>
درس|darsun	<i>noun</i><br><ol><li>lesson</li></ol>
درمپ	<i>noun</i><br><ol><li>drop</li></ol>
درنپ	<i>noun</i><br><ol><li>drop</li></ol>
دروگ|darog	<i>noun</i><br><ol><li>lie</li><li>untruth</li><li>falsehood</li></ol>
درچک|dirack	<i>noun</i><br><ol><li>tree</li></ol>
دز	<i>noun</i><br><ol><li>thief</li></ol>
دزگ|duzzag	<i>verb</i><br><ol><li>to steal</li></ol>
دست|dast	<i>noun</i><br><ol><li>hand</li></ol>
دستاں|dastá̃	<i>noun</i><br><ol><li>story, tale</li></ol>
دستگ|dastag	<i>noun</i><br><ol><li>handle</li></ol>
دشمن|dušman	<i>noun</i><br><ol><li>enemy</li></ol>
دف|daf	<i>noun</i><br><ol><li>mouth</li></ol>
دل|dil	<i>noun</i><br><ol><li>(anatomy) heart</li></ol>
دمب|dumb	<i>noun</i><br><ol><li>tail</li></ol>
دنتان|dantán	<i>noun</i><br><ol><li>tooth</li></ol>
دو|do	<i>num</i><br><ol><li>two</li></ol><br><i>noun</i><br><ol><li>two (digit)</li></ol>
دوست|dost	<i>noun</i><br><ol><li>friend</li></ol>
دوچگ|docag	<i>verb</i><br><ol><li>to sew</li></ol>
دپ|dap	<i>noun</i><br><ol><li>mouth</li></ol>
دپتر|daptar	<i>noun</i><br><ol><li>office</li></ol>
دژمن|dužman	<i>noun</i><br><ol><li>enemy</li></ol>
دک|dikk	<i>noun</i><br><ol><li>hill</li></ol>
دہ|dah	<i>num</i><br><ol><li>ten</li></ol><br><i>noun</i><br><ol><li>ten (digit)</li></ol>
دہت|duht	<i>noun</i><br><ol><li>daughter</li></ol>
دیم|dem	<i>noun</i><br><ol><li>face</li></ol>
دیوال|díwál	<i>noun</i><br><ol><li>wall</li></ol>
دیگ|dayag|دات	<i>verb</i><br><ol><li>to give</li></ol>
راست|rást	<i>adj</i><br><ol><li>right</li></ol>
رسگ|رست|rasag	<i>verb</i><br><ol><li>to arrive</li><li>to reach</li></ol>
رند|rand	<i>adv</i><br><ol><li>then</li><li>after</li><li>afterwards</li><li>later</li></ol>
روباہ|robáh	<i>noun</i><br><ol><li>fox</li></ol>
روپگ|rópag|رپت	<i>verb</i><br><ol><li>to sweep</li></ol><br><i>noun</i><br><ol><li>broom</li></ol>
روچ|rōč	<i>noun</i><br><ol><li>day</li><li>sun</li></ol>
روگ|rawag|شت|رپت	<i>verb</i><br><ol><li>to go</li></ol>
زانگ|zánag|زانت	<i>verb</i><br><ol><li>to know</li></ol>
زبان	<i>noun</i><br><ol><li>tongue</li><li>language</li></ol>
زر|zar	<i>noun</i><br><ol><li>gold</li><li>money</li></ol>
زرد|zard|zird	<i>noun</i><br><ol><li>(anatomy) heart</li><li>conscience (sense of right and wrong)</li></ol><br><i>adj</i><br><ol><li>yellow</li></ol>
زعفران	<i>noun</i><br><ol><li>saffron</li></ol>
زمستان|zemestân	<i>noun</i><br><ol><li>winter</li></ol>
زمین|zamín	<i>noun</i><br><ol><li>earth</li><li>land</li><li>ground</li><li>soil</li></ol>
زندگ|zandag	<i>adj</i><br><ol><li>alive</li><li>living</li></ol>
زوان|zawán	<i>noun</i><br><ol><li>tongue</li><li>language</li></ol>
زورگ|zorag	<i>verb</i><br><ol><li>to take (to get into one's possession)</li><li>to remove</li></ol>
زوم	<i>noun</i><br><ol><li>scorpion</li></ol>
زہم|zahm	<i>noun</i><br><ol><li>sword</li></ol>
زی|zí	<i>adv</i><br><ol><li>yesterday</li></ol><br><i>noun</i><br><ol><li>yesterday</li></ol>
زیم|zím	<i>noun</i><br><ol><li>scorpion</li></ol>
سادگ|sádag	<i>adj</i><br><ol><li>simple</li><li>plain, ordinary</li><li>easy</li><li>blank</li></ol>
سال|sál	<i>noun</i><br><ol><li>year</li></ol>
ساہ|sáh	<i>noun</i><br><ol><li>breath</li></ol>
ساہگ|sāyīg	<i>noun</i><br><ol><li>shadow</li></ol>
سبک|sabak|sabaq|سبق	<i>noun</i><br><ol><li>lesson</li></ol>
سحر|sahr|sihr	<i>noun</i><br><ol><li>magic</li></ol>
سحر کنوخ|sihr kanox	<i>noun</i><br><ol><li>magician</li></ol>
سحرگو|sahargo	<i>noun</i><br><ol><li>magician</li></ol>
سر|sar	<i>noun</i><br><ol><li>(anatomy) head</li><li>top</li></ol>
سرم|surum	<i>noun</i><br><ol><li>hoof</li></ol>
سرمب|surumb	<i>noun</i><br><ol><li>hoof</li></ol>
سرنب|surunb	<i>noun</i><br><ol><li>hoof</li></ol>
سروک|sarok	<i>noun</i><br><ol><li>chief</li><li>head</li><li>boss</li></ol>
سرگ|sarag	<i>noun</i><br><ol><li>(anatomy) head</li><li>top</li></ol>
سلا|sala	<i>noun</i><br><ol><li>peace</li></ol>
سنگ|sang	<i>noun</i><br><ol><li>stone</li></ol>
سنگین	<i>adj</i><br><ol><li>heavy</li></ol>
سوال|sawál|suwál	<i>noun</i><br><ol><li>question</li></ol>
سوب|sob|sawb	<i>noun</i><br><ol><li>victory</li></ol>
سوج کنگ|soj kanag	<i>verb</i><br><ol><li>to ask, inquire</li></ol>
سوپ|sop	<i>noun</i><br><ol><li>apple</li></ol>
سپائی|sapáí|sipáí	<i>noun</i><br><ol><li>soldier</li></ol>
سپاہی|sipáhí|sapáhí	<i>noun</i><br><ol><li>soldier</li></ol>
سک|sakk	<i>adj</i><br><ol><li>hard, difficult</li><li>severe</li><li>rigid</li><li>strong</li></ol>
سہر|suhr	<i>adj</i><br><ol><li>red</li></ol>
شاعر	<i>noun</i><br><ol><li>poet</li></ol>
شانگ|šánag	<i>verb</i><br><ol><li>to vomit</li></ol>
شاہر|šáhar|šáhir	<i>noun</i><br><ol><li>poet</li></ol>
شاہیم|šáhím	<i>noun</i><br><ol><li>balance</li><li>scales</li></ol>
شدیگ|šudíg	<i>adj</i><br><ol><li>hungry</li></ol>
شش|šaš	<i>num</i><br><ol><li>six</li></ol><br><i>noun</i><br><ol><li>six (digit)</li></ol>
شموشگ|شمشت|šamóšag	<i>verb</i><br><ol><li>to forget</li></ol>
شنگ|šing	<i>noun</i><br><ol><li>propagation</li><li>circulation</li><li>publication</li><li>broadcast</li></ol>
شودگ|šodag	<i>verb</i><br><ol><li>to wash</li></ol>
شپ|šap	<i>noun</i><br><ol><li>night</li></ol>
شکر	<i>noun</i><br><ol><li>sugar</li></ol>
شکل|šakkal	<i>noun</i><br><ol><li>sugar</li></ol>
شہد|šahad	<i>noun</i><br><ol><li>honey</li></ol>
شیر|šír	<i>noun</i><br><ol><li>milk</li></ol>
شیلانچ	<i>noun</i><br><ol><li>curd</li></ol>
صد|sad	<i>num</i><br><ol><li>hundred</li></ol>
صهب|sauhb	<i>noun</i><br><ol><li>morning</li></ol>
طلا|talá|tilá	<i>noun</i><br><ol><li>gold</li></ol>
فرق|farq	<i>noun</i><br><ol><li>difference</li><li>distinction</li></ol>
فقیر|faqír	<i>noun</i><br><ol><li>beggar</li></ol>
قانود|qánúd	<i>noun</i><br><ol><li>law</li><li>statute</li><li>rule</li></ol>
قدم|qadam	<i>noun</i><br><ol><li>step</li></ol>
قصو|qisso	<i>noun</i><br><ol><li>story, tale</li></ol>
قصہ|qissa	<i>noun</i><br><ol><li>story, tale</li></ol>
