ငဝ်းလၢႆး|ngáó lááí	<i>noun</i><br><ol><li>condition, situation, circumstance</li></ol>
ငိင်း|လွင်ႈငိင်း|ngíng	<i>verb</i><br><ol><li>to become calm, quiet, as after a quarrel, (used with ယဵၼ် (yǎěn))</li></ol>
ငိုၼ်း|လွင်ႈငိုၼ်း|ngúén	<i>noun</i><br><ol><li>silver</li><li>money</li></ol><br><i>verb</i><br><ol><li>to stretch forth (as the neck)</li></ol>
ငိူင်ႉဝႄႈ|လွင်ႈငိူင်ႉဝႄႈ|ngô̰ḛ̂ng wāāē	<i>verb</i><br><ol><li>(transitive) avoid, shun</li></ol>
ငူဝ်း|ngó|တူဝ်	<i>noun</i><br><ol><li>ox; cow.</li></ol>
ငူး|ngúú	<i>noun</i><br><ol><li>snake</li></ol>
တင်ႇငူင်း|tàng ngúúng	<i>noun</i><br><ol><li>chair</li></ol>
တတ်း|လွင်ႈတတ်း|tát	<i>verb</i><br><ol><li>to cut</li></ol>
တပ်း|táp	<i>noun</i><br><ol><li>liver</li></ol>
တပ်ႉ|tâ̰p	<i>noun</i><br><ol><li>fort</li></ol>
တပ်ႉသိုၵ်း|tâ̰p súék	<i>noun</i><br><ol><li>the Army, troop</li></ol>
တပႄး|tǎ pááé	<i>noun</i><br><ol><li>scholar, disciple</li></ol>
တမ်းပူႇ|tám pùù	<i>noun</i><br><ol><li>(မႆႉ~) twig frayed at one end to clean the teeth</li></ol>
တမ်ႇငႃႈ|tàm ngāā	<i>noun</i><br><ol><li>fisherman</li></ol>
တမ်ႇတိူင်း|tàm tóéng	<i>noun</i><br><ol><li>wall</li></ol>
တမၢၼ်ႇ|tǎ mààn	<i>noun</i><br><ol><li>courier; messenger.</li></ol>
တယလူဝ်ႇ|tǎ yǎ lò	<i>noun</i><br><ol><li>plaintiff, prosecutor</li></ol>
တလႅင်း|tǎ léng	<i>name</i><br><ol><li>Mon</li></ol>
တဝ်|လွင်ႈတဝ်|tǎǒ	<i>noun</i><br><ol><li>stove; kiln.</li></ol><br><i>verb</i><br><ol><li>to stir.</li><li>to seek.</li></ol>
တဝ်ႉ|လွင်ႈတဝ်ႉ|tâ̰ô̰	<i>verb</i><br><ol><li>to support oneself with something</li><li>to be the same; to be alike</li></ol>
တိူင်း|လွင်ႈတိူင်း|tóéng	<i>noun</i><br><ol><li>country</li></ol><br><i>verb</i><br><ol><li>to compare together, measure together</li></ol>
တိူင်ႇ|tòèng|လွင်ႈတိူင်ႇ	<i>verb</i><br><ol><li>to call on to witness (used in taking an oath)</li><li>to invoke</li></ol>
တိူင်ႇပၢင်ႇ|လွင်ႈတိူင်ႇပၢင်ႇ|tòèng pààng	<i>verb</i><br><ol><li>to consult, hold counsel, deliberate together</li></ol>
တိူၵ်ႇလိူၼ်|tòèk lǒěn	<i>noun</i><br><ol><li>earthworm.</li></ol>
တိူၵ်ႈ|tōēk	<i>noun</i><br><ol><li>brick or stone building</li><li>country, continent</li><li>box, depository</li></ol>
တိၼ်|tǐn	<i>noun</i><br><ol><li>foot</li></ol>
တီႇသႅမ်ႇပႃႇ|tìì sèm pàà	<i>name</i><br><ol><li>December.</li></ol>
တီႈ|tīī	<i>noun</i><br><ol><li>place, situation, area, region</li><li>factual point</li></ol><br><i>prep</i><br><ol><li>in, at, to, on (used before dates)</li></ol><br><i>pron</i><br><ol><li>where (sometimes used with ဢၼ် (ʼǎn, “which”))</li></ol>
တီႈၶႃႈ|tīī khāā	<i>particle</i><br><ol><li>(royal) a sentence ending showing formality and politeness, used when speaking to kings and princes</li></ol>
တုင်|tǔng|လွင်ႈတုင်	<i>verb</i><br><ol><li>coagulate</li></ol>
တူ|tǔǔ	<i>noun</i><br><ol><li>door</li></ol><br><i>pron</i><br><ol><li>I, me</li></ol>
တူင်ႉ|tṵ̂ṵ̂ng|လွင်ႈတူင်ႉ	<i>verb</i><br><ol><li>to stir, move (as a living body)</li><li>to make a movement</li><li>to tremble, shake (as a house)</li></ol>
တူဝ်း|tó|လွင်ႈတူဝ်း	<i>verb</i><br><ol><li>to advance, increase, augment</li></ol>
