A	<i>character</i><br><ol><li>The first letter of the Uzbek alphabet, written in the Latin script.</li></ol>
Afgʻoniston	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afrika|Afrikangizda|Afrikamizning|Afrikalarimizdan|Afrikada|Afrikalarimda|Afrikalaringga|Afrikalarimga|Afrikalaringning|Afrikalaringni|Afrikangga|Afrikasining|Afrikangni|Afrikangizning|Afrikamiz|Afrikang|Afrikamizdan|Afrikangizga|Afrikalarga|Afrikasidan|Afrikalari|Afrikadan|Afrikalaringdan|Afrikasiga|Afrikamizda|Afrikamizga|Afrikam|Afrikasini|Afrikalarimizning|Afrikani|Afrikangiz|Afrikalarimdan|Afrikalarimiz|Afrikalaringiz|Afrikalaringizga|Afrikasida|Afrikalarim|Afrikalarimizda|Afrikalarimizga|Afrikangda|Afrikalaringizning|Afrikalarni|Afrikalaringizdan|Afrikamda|Afrikaga|Afrikamning|Afrikalarda|Afrikalaring|Afrikalarimning|Afrikamga|Afrikalaringda|Afrikalar|Afrikalarida|Afrikalariga|Afrikalaringizda|Afrikangizdan|Afrikamizni|Afrikamdan|Afrikalarining|Afrikangdan|Afrikalarning|Afrikalaridan|Afrikalarimizni|Afrikaning|Afrikalaringizni|Afrikamni|Afrikangning|Afrikasi|Afrikalarini|Afrikangizni|Afrikalarimni|Afrikalardan	<i>name</i><br><ol><li>Africa</li></ol>
Albaniya|Albaniyalarimda|Albaniyalaringni|Albaniyamizga|Albaniyalariga|Albaniyalari|Albaniyangizdan|Albaniyalaringizdan|Albaniyangizning|Albaniyalarimni|Albaniyasining|Albaniyalarning|Albaniyasi|Albaniyalarimiz|Albaniyangda|Albaniyalarida|Albaniyalaringga|Albaniyalaringizning|Albaniyalarimizdan|Albaniyalarimizda|Albaniyangizga|Albaniyalarimga|Albaniyalardan|Albaniyamda|Albaniyalaring|Albaniyangni|Albaniyasidan|Albaniyang|Albaniyasida|Albaniyalaringda|Albaniyalarga|Albaniyaga|Albaniyalarda|Albaniyangning|Albaniyamdan|Albaniyalarini|Albaniyalaringizni|Albaniyalarining|Albaniyamni|Albaniyalarimizning|Albaniyangiz|Albaniyamiz|Albaniyamizning|Albaniyalarimning|Albaniyamning|Albaniyalaringning|Albaniyalarimizni|Albaniyaning|Albaniyangizda|Albaniyam|Albaniyangdan|Albaniyalaringdan|Albaniyalarimdan|Albaniyalaringizda|Albaniyamizda|Albaniyalarimizga|Albaniyamizni|Albaniyangizni|Albaniyalaridan|Albaniyamga|Albaniyada|Albaniyasiga|Albaniyadan|Albaniyalarni|Albaniyalaringiz|Albaniyangga|Albaniyalaringizga|Albaniyalar|Albaniyalarim|Albaniyani|Albaniyasini|Albaniyamizdan	<i>name</i><br><ol><li>Albania</li></ol>
Alloh	<i>name</i><br><ol><li>(Islam) Allah</li></ol>
Alloh taolo	<i>name</i><br><ol><li>(Islam) God the highest, the Almighty</li></ol>
Amerika|Amerikangizda|Amerikalariga|Amerikamdan|Amerikangizni|Amerikalarimni|Amerikadan|Amerikalarini|Amerikamizning|Amerikalarimning|Amerikamizga|Amerikalaringga|Amerikam|Amerikalarimda|Amerikangiz|Amerikaning|Amerikasidan|Amerikalari|Amerikangdan|Amerikasini|Amerikalaringiz|Amerikamning|Amerikalaringizda|Amerikalarda|Amerikalaringdan|Amerikalarga|Amerikasiga|Amerikangga|Amerikamizni|Amerikangizga|Amerikalarimga|Amerikalaringizning|Amerikangizdan|Amerikada|Amerikalarim|Amerikalarning|Amerikalaringni|Amerikasi|Amerikani|Amerikalarimizni|Amerikangizning|Amerikang|Amerikasida|Amerikangni|Amerikamiz|Amerikalarni|Amerikamga|Amerikangning|Amerikamizda|Amerikalaringizdan|Amerikalaringizga|Amerikalaringning|Amerikalaridan|Amerikalardan|Amerikalarimdan|Amerikalarining|Amerikalarimizga|Amerikamizdan|Amerikalaringizni|Amerikalaring|Amerikalarimizda|Amerikalar|Amerikamni|Amerikalarimizdan|Amerikalarimizning|Amerikalarimiz|Amerikaga|Amerikasining|Amerikamda|Amerikalarida|Amerikalaringda|Amerikangda	<i>name</i><br><ol><li>America (the continents of North America and South America)</li><li>(colloquial) America, United States of America (a country in North America)</li></ol>
Anatoliya	<i>name</i><br><ol><li>Turkey</li></ol>
Andorra|Andorramda|Andorralaringizga|Andorralariga|Andorralarga|Andorralarim|Andorrani|Andorramizning|Andorramning|Andorrasi|Andorralarimizga|Andorralarimizdan|Andorralardan|Andorralarimni|Andorralarimdan|Andorramni|Andorralarimda|Andorralaridan|Andorralarimizda|Andorralaringizni|Andorralaringda|Andorrangizga|Andorrasining|Andorralaringning|Andorralarimiz|Andorrasidan|Andorrangga|Andorralaringga|Andorrangiz|Andorralaringiz|Andorramizda|Andorrangda|Andorrangning|Andorramdan|Andorrangizning|Andorralaringni|Andorrangdan|Andorrang|Andorrasiga|Andorramiz|Andorraga|Andorrasini|Andorraning|Andorralarning|Andorralaringdan|Andorramga|Andorrasida|Andorralarini|Andorrangni|Andorralaringizda|Andorrada|Andorrangizdan|Andorralarining|Andorralar|Andorralarida|Andorralarimga|Andorralaringizdan|Andorramizni|Andorramizdan|Andorrangizni|Andorram|Andorralari|Andorralarni|Andorrangizda|Andorralarimizni|Andorralaringizning|Andorralarda|Andorralarimizning|Andorralarimning|Andorramizga|Andorradan|Andorralaring	<i>name</i><br><ol><li>Andorra</li></ol>
Antarktida	<i>name</i><br><ol><li>Antarctica</li></ol>
