A	<i>character</i><br><ol><li>The first letter of the Võro alphabet, called a and written in the Latin script.</li></ol>
Albaania|Albaanialt|Albaanian|Albaaniagaq|Albaanial|Albaanialdaq|Albaaniat|Albaaniahe|Albaanias|Albaaniahn|Albaanialõ|Albaaniast|Albaanianiq	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Alžeeriä	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Ameeriga Ütisriigiq|Ameeriga Ütisriigen|Ameeriga Ütisriigelt|Ameeriga Ütisriigel|Ameeriga Ütisriike|Ameeriga Ütisriikehe|Ameeriga Ütisriigehn|Ameeriga Ütisriigest|Ameeriga Ütisriikegäq|Ameeriga Ütisriigeldäq|Ameeriga Ütisriigeniq|Ameeriga Ütisriigele|Ameeriga Ütisriiges	<i>name</i><br><ol><li>United States of America (a country in North America)</li></ol>
Araabia Ütisemiraadiq	<i>name</i><br><ol><li>United Arab Emirates</li></ol>
Armeeniä|Armeeniäniq|Armeeniän|Armeeniäst|Armeeniäle|Armeeniält|Armeeniäs|Armeeniät|Armeeniähn|Armeeniäl|Armeeniäldäq|Armeeniägäq|Armeeniähe	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Asõrbaidžaan	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Belgiä|Belgiäs|Belgiäniq|Belgiält|Belgiäldäq|Belgiäst|Belgiäle|Belgiät|Belgiäl|Belgiähn|Belgiägäq|Belgiän|Belgiähe	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Bosnia|Bosniagaq|Bosnian|Bosnialõ|Bosnias|Bosnial|Bosniat|Bosnialt|Bosniast|Bosniahe|Bosnialdaq|Bosnianiq|Bosniahn	<i>name</i><br><ol><li>Bosnia</li></ol>
Bosnia ja Hertsegoviina|Bosniagaq|Hertsegoviinalt|Bosnian|Bosnialõ|Hertsegoviinan|Bosnialt|Hertsegoviinaniq|Hertsegoviinas|Bosnianiq ja Hertsegoviinaniq|Hertsegoviinna|Bosniahn ja Hertsegoviinan|Hertsegoviinalõ|Bosnialõ ja Hertsegoviinalõ|Bosnial|Bosnialdaq|Bosnialdaq ja Hertsegoviinaldaq|Bosnian ja Hertsegoviinahn|Bosnianiq|Bosnialt ja Hertsegoviinalt|Bosnias ja Hertsegoviinas|Hertsegoviinal|Hertsegoviinahn|Hertsegoviina|Bosniast ja Hertsegoviinast|Hertsegoviinaldaq|Hertsegoviinast|Bosniahn ja Hertsegoviinahn|Bosniast|Bosniahe ja Hertsegoviinna|Bosniahn|Bosnia|Bosniat ja Hertsegoviinna|Bosnian ja Hertsegoviinan|Bosnial ja Hertsegoviinal|Bosniagaq ja Hertsegoviinagaq|Bosnias|Bosniat|Hertsegoviinagaq|Bosniahe	<i>name</i><br><ol><li>Bosnia and Herzegovina (a country in Europe)</li></ol>
Eesti|Eestil|Eestis|Eestiniq|Eestile|Eestigäq|Eestilt|Eestildäq|Eestit|Iisti|Eestihte|Eestin|Eestist|Eestihn	<i>name</i><br><ol><li>Estonia</li></ol>
Egüptüs	<i>name</i><br><ol><li>Egypt</li></ol>
Elevandiluurand|Elevandiluurannagaq|Elevandiluurannaldaq|Elevandiluurannahn|Elevandiluuranda|Elevandiluurannalt|Elevandiluurannas|Elevandiluurannaniq|Elevandiluuranna|Elevandiluurannan|Elevandiluurannalõ|Elevandiluurannal|Elevandiluurannast	<i>name</i><br><ol><li>Côte d'Ivoire</li></ol>
Filipiiniq	<i>name</i><br><ol><li>Philippines</li></ol>
Helsinki	<i>name</i><br><ol><li>Helsinki (the capital city of Finland)</li></ol>
