А|а	<i>character</i><br><ol><li>The first letter of the Tuvan alphabet, written in the Cyrillic script.</li></ol>
Азия|Азияларымже|Азиямга|Азияны|Азияларымны|Азияларга|Азиямдан|Азияда|Aziya|Азияларда|Азиялар|Азиядан|Азияларым|Азиям|Азиямда|Азиямның|Азиядыва|Азияларның|Азияның|Aziyaje|Азияларны|Азияларымда|Азияже|Азияларымга|Азиялардыва|Азияларымдыва|Азиямже|Азиямны|Азиямдыва|Азияларже|Азияларымның|Азиялардан|Азияларымдан|Азияга	<i>noun</i><br><ol><li>Asia (a continent)</li></ol>
Алдай|Alday	<i>name</i><br><ol><li>Altai (mountain range)</li></ol>
Бурган|Бурганнарның|Бурганнардан|Бурганнарымның|Бурганже|Бурганымны|Бурганнарда|Бурганымның|Бурганнарымдан|Бурганнарымны|Бурганнар|Бурганнарымдыва|Бурганга|Бурганның|Бурганымдыва|Burgan|Бурганымже|Бурганымга|Бурганымда|Бурганымдан|Бургандан|Бурганнардыва|Бурганнарымже|Бурганым|Бурганнарымда|Бурганнарже|Бургандыва|Бурганнарны|Бурганны|Бурганнарга|Бурганнарымга|Бурганнарым|Бурганда	<i>noun</i><br><ol><li>(Christianity) God</li></ol>
Кыдат|Kıdat	<i>name</i><br><ol><li>China</li></ol>
Кызыл|Кызылдан|Кызылымдыва|Кызылымның|Кызылымда|Кызылым|Кызылымга|Кызылже|Кызылымже|Кызылдың|Кызылымдан|Kızıl|Кызылымны|Кызылдыва|Кызылды|Кызылда|Кызылга	<i>name</i><br><ol><li>Kyzyl (the capital city of the Tuva Republic, Russia)</li></ol>
Көпсү-Хөл|Köpsü-Xöl	<i>name</i><br><ol><li>Khövsgöl (lake in northwestern Mongolia)</li></ol>
Моол|Mool	<i>name</i><br><ol><li>Mongolia (a country in inner Asia)</li></ol>
Пөштүг-Хем|Pöştüg-Xem	<i>name</i><br><ol><li>Poshtug-Khem (river in Bai-Taiginsky Kozhuun, Tuva, Russia)</li></ol>
Тес-Хем|Tes-Xem	<i>name</i><br><ol><li>the Tes River</li></ol>
Тыва|Тываның|Тывага|Тываларга|Тывамның|Tıvaga|Тываларымга|Тывалардан|Тываларымда|Тываларым|Тывалар|Тывамдыва|Тываларның|Тываларымже|Тываларда|Tıva|Тывам|Тывада|Тывадыва|Тываларымны|Тываларже|Тываларымның|Тывамны|Тывамдан|Тываларны|Тывадан|Тывамда|Тываны|Тываже|Тываларымдан|Тывалардыва|Тывамже|Тывамга|Тываларымдыва	<i>name</i><br><ol><li>Tuva (a republic of Russia)</li></ol>
Улуг-Хем|Ulug-Xem	<i>name</i><br><ol><li>Yenisei (a major river in Russia)</li></ol>
Ы|I	<i>character</i><br><ol><li>The thirty-second letter of the Tuvan alphabet</li></ol>
аал|аалымны|аалымга|аалдар|аалдарымны|аалдыва|аалдарымдан|аалже|аалымдан|аалдарымже|аалымның|аалдарга|aal|аалдарже|аалдарда|аалымда|аалдарымның|аалда|аалдарымдыва|аалдардан|аалды|аалдың|аалдан|аалга|аалдарымда|аалымже|аалдардыва|аалдарны|аалымдыва|аалым|аалдарның|аалдарым|аалдарымга	<i>noun</i><br><ol><li>village</li><li>tent (housing structure)</li><li>(by extension) home</li></ol>
аар|aar	<i>adj</i><br><ol><li>heavy</li><li>expensive (price)</li></ol>
аарыг|aarıg|аарыгны|аарыглар	<i>adj</i><br><ol><li>sick, ill</li></ol><br><i>noun</i><br><ol><li>disease, illness</li></ol>
аарыыр|аараан|аарывас|aarıır	<i>verb</i><br><ol><li>(intransitive, + ablative) to be sick, suffer of</li><li>(intransitive) to hurt, ache, sting</li></ol>
аас|аасты|аастер|aas	<i>noun</i><br><ol><li>(anatomy) mouth</li></ol>
аас-кежик|аас-кежиктердиве|аас-кежикимже|аас-кежикимни|аас-кежиктеримге|аас-кежиктерниң|аас-кежикимниң|аас-кежиктеримде|аас-кежикте|аас-кежикимдиве|аас-кежиктеримдиве|аас-кежиктер|аас-кежиктерим|аас-кежиктиң|аас-кежикимде|аас-кежиктерде|аас-кежиктеримниң|аас-кежиктеримже|аас-кежиктеримден|аас-кежиким|аас-кежикимден|аас-кежиктеримни|аас-кежикимге|аас-кежиктерни|аас-кежикче|аас-кежиктерге|аас-кежикке|aas-kejik|аас-кежиктен|аас-кежиктерже|аас-кежикти|аас-кежиктерден|аас-кежиктиве	<i>noun</i><br><ol><li>happiness</li></ol>
ава|авамда|авага|аваны|аваларга|авадыва|аваларымда|авамдан|аваларым|аваже|аваларымдыва|авалардыва|аваларымның|авамны|авада|аваларымга|аваларның|аваларда|аваның|авалардан|аваларже|аваларымны|ava|авалар|авамдыва|авам|авамга|аваларны|аваларымже|авамже|авамның|авадан|аваларымдан	<i>noun</i><br><ol><li>mother</li></ol>
авырал|авыралдарымны|авыралдар|авыралдарымдыва|авыралдардыва|авыралдарже|авыралымдыва|авыралым|авыралдыва|авыралымга|авыралда|avıral|авыралдың|авыралдарымдан|авыралымда|авыралдарымже|авыралдарым|авыралымның|авыралдарның|авыралдарымга|авыралымдан|авыралдарны|авыралды|авыралымже|авыралдарга|авыралдарымда|авыралга|авыралдарымның|авыралже|авыралдардан|авыралымны|авыралдан|авыралдарда	<i>noun</i><br><ol><li>help, assistance</li></ol>
агаар|agaar|агаарлар|агаарны	<i>noun</i><br><ol><li>air</li><li>weather</li></ol>
агаарлаар|agaarlaar|агаарлавас|агаарлаан	<i>verb</i><br><ol><li>(intransitive) to take a walk, stroll</li></ol>
агып|agıp	<i>verb</i><br><ol><li>modal converb of ак- (ak-, “to flow”, affirmative stem)</li></ol>
адаар|адавас|адаан|adaar	<i>verb</i><br><ol><li>(transitive) to name, entitle</li><li>(transitive) to pronounce</li></ol>
адыг|адыглар|adıg|адыгны	<i>noun</i><br><ol><li>bear</li></ol>
адыңар кымыл|adıñar kımıl?	<i>phrase</i><br><ol><li>what's your name?</li></ol>
