Aristoteles	<i>name</i><br><ol><li>Aristotle</li></ol>
Ayifto	<i>name</i><br><ol><li>Egypt</li></ol>
Danimarka	<i>name</i><br><ol><li>Denmark</li></ol>
Djudaismo	<i>name</i><br><ol><li>Judaism</li></ol>
Dyo|El Dio|דיו|Dio	<i>noun</i><br><ol><li>God</li></ol>
Espania	<i>noun</i><br><ol><li>Spain</li></ol>
Espanya|איספאנײה	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Estanbol	<i>name</i><br><ol><li>Istanbul (a city in Turkey)</li></ol>
Frutas|las Frutas	<i>name</i><br><ol><li>Tu BiShvat</li></ol>
Kartago	<i>name</i><br><ol><li>Carthage (an ancient city in North Africa, in modern Tunisia)</li><li>Carthage (an ancient civilisation in North Africa, centred on the city of Carthage)</li></ol>
Mulud	<i>name</i><br><ol><li>(Haketia) Mawlid (holiday celebrating the birth of Mohammed)</li></ol>
Noel	<i>name</i><br><ol><li>Christmas</li></ol>
Olokosto|Olokósto	<i>noun</i><br><ol><li>Holocaust</li></ol>
Rosh Ashana|Rosh Ashaná|ראש השנה	<i>noun</i><br><ol><li>Rosh Hashanah</li></ol>
Saloniko|שאלוניקו	<i>name</i><br><ol><li>Thessaloniki (a city in Greece)</li></ol>
Silas|סילאס	<i>name</i><br><ol><li>Silas</li></ol>
Tanah	<i>name</i><br><ol><li>Tanakh</li></ol>
Vikipedia|ויקיפידיה	<i>name</i><br><ol><li>Wikipedia</li></ol>
Yerushalayim|ירושלים	<i>name</i><br><ol><li>Jerusalem (the claimed (and de-facto) capital city of Israel; the claimed capital city of Palestine)</li></ol>
Yeshu	<i>name</i><br><ol><li>Jesus</li></ol>
Yisrael	<i>name</i><br><ol><li>Israel (in all senses)</li></ol>
abafar|abafavan|abaféx|abafas|abafáramos|abafaréx|abafates|abafo|aviendo abafado|abafamos|abafaras|abafad|אבאפֿאר|abafavas|abafarán|abafada|abafaríamos|abafávamos|abafaran|no abaféx|abafa|abafavax|abafarax|no abafes|aver abafado|abafatex|abafì|abafadas|abafará|abafaría|abafava|abafemos|abafìmos|abafara|abafes|abafaríax|abafaremos|abafe|abafáx|abafando|abafado|abafados|abafaré|abafó|abafarían|abafan|abafarás|abafen|abafaron|abafarías	<i>verb</i><br><ol><li>(cooking) to steam</li><li>to suffocate, choke</li><li>to put out (a fire) by suffocation</li><li>to cover (a sound) or mask (the noise)</li></ol>
abandonar|abandonarías|abandonarán|abandonarás|abandonada|abandonaría|abandonemos|abandonados|aviendo abandonado|abandonì|abandonan|abandonara|abandonaré|abandonaríamos|abandonen|no abandones|abandonas|abandonìmos|abandonaremos|abandonates|abandonó|abandonaron|abandono|abandonavan|aver abandonado|abandonaréx|abandones|abandonando|abandonatex|abandonavas|abandonadas|abandonarían|abandonáramos|abandonad|no abandonéx|abandonaríax|abandonado|abandonaras|abandonavax|abandonávamos|abandone|אבאנדונאר|abandonava|abandonará|abandonaran|abandona|abandonéx|abandonamos|abandonáx|abandonarax	<i>verb</i><br><ol><li>to abandon, leave, forsake</li></ol>
abashar|abashado|abashéx|abasharan|abashados|abasharéx|abasho|abasháramos|abasharía|abashavan|abasharon|abasharías|abasharax|no abashes|abashen|abashadas|abasharían|abashe|abashada|abashates|abashara|abashad|abasharás|aver abashado|abashavax|abasharán|abashes|abashatex|abasharé|abasharíax|abasha|abashas|abasharemos|abashava|abashemos|abashávamos|abasharas|abashó|abasháx|abashì|abashará|abashando|no abashéx|abashìmos|abashan|abashamos|aviendo abashado|abasharíamos|abashavas	<i>verb</i><br><ol><li>to lower, go down</li></ol>
abastar	<i>verb</i><br><ol><li>to suffice, be enough</li></ol>
abastádo	<i>adj</i><br><ol><li>almighty, omnipotent (referring to God).</li></ol>
abaxada|abaşada|abashade|abashada|אבאשאדֿה|אבאשאדי|abachada	<i>noun</i><br><ol><li>(medicine) common cold</li><li>(geomorphology) slope, descent, downward slope or declivity</li><li>setback, down, a negative aspect, pitfall</li></ol>
abazur	<i>noun</i><br><ol><li>A lampshade</li></ol>
abituar	<i>verb</i><br><ol><li>to become accustomed to, get in the habit of</li></ol>
abokarse	<i>verb</i><br><ol><li>to bend over, lean out</li></ol>
aboltar	<i>verb</i><br><ol><li>to turn around</li><li>to return</li></ol>
aborreser	<i>verb</i><br><ol><li>to hate</li></ol>
abrasar	<i>verb</i><br><ol><li>to embrace</li></ol>
abrigar	<i>verb</i><br><ol><li>(reflexive) to take shelter or cover</li></ol>
abrigo|abrigos	<i>noun</i><br><ol><li>shelter</li><li>protection</li></ol>
abásho	<i>adv</i><br><ol><li>below</li></ol>
achakes de|achákes de	<i>prep</i><br><ol><li>because of, due to</li></ol>
achilearse	<i>verb</i><br><ol><li>to open up oneself to</li><li>to become informed</li></ol>
adelantre	<i>adv</i><br><ol><li>forward</li></ol>
aderesso	<i>noun</i><br><ol><li>address</li></ol>
adio|אדיו	<i>intj</i><br><ol><li>goodbye</li></ol>
adisyón	<i>noun</i><br><ol><li>bill, check, (in restaurant)</li></ol>
adjilé	<i>noun</i><br><ol><li>hurry, rush, haste</li></ol>
adjuntar	<i>verb</i><br><ol><li>to add</li><li>to join</li></ol>
adjustar|adjusto|adjustash|adjustan|adjusta|adjustas|adjustamos	<i>verb</i><br><ol><li>to add</li></ol>
adolensyarse	<i>verb</i><br><ol><li>to fall ill</li><li>to be in pain</li></ol>
adovar	<i>verb</i><br><ol><li>to repair</li></ol>
adulterio	<i>noun</i><br><ol><li>adultery</li></ol>
adá	<i>noun</i><br><ol><li>island</li></ol>
aedada|aedado|אאידאדו	<i>adj</i><br><ol><li>aged, elderly</li></ol>
aedado|aedada|אאידאדו	<i>adj</i><br><ol><li>aged, elderly</li></ol>
aeroporto	<i>noun</i><br><ol><li>airport</li></ol>
afalagar	<i>verb</i><br><ol><li>to flatter</li></ol>
aferrar	<i>verb</i><br><ol><li>to catch</li><li>to grasp</li></ol>
afeytado	<i>noun</i><br><ol><li>makeup, ornaments</li></ol>
afeytarse	<i>verb</i><br><ol><li>to put on makeup, ornaments</li></ol>
afilu	<i>conj</i><br><ol><li>even</li><li>even though, even if</li></ol>
