آخر|أخرى|ʔāḵur|أخرات|أخرين|آخرين	<i>adj</i><br><ol><li>another, one more, other</li></ol>
آدى|يآديوا|نآدي|ʔāda|يآدي|آديوا|آديت|آديتوا|نآديوا|آدات|آدي|yʔādi|آداوا|آدينا|تآدي|تآديوا|آديتي	<i>verb</i><br><ol><li>to harm</li></ol>
آش|ʔāš	<i>adv</i><br><ol><li>(interrogative) what?</li></ol>
آنا|ʔāna|أنا|ʔana	<i>pron</i><br><ol><li>I (first person singular subject pronoun)</li></ol>
آه|ʔāh	<i>particle</i><br><ol><li>yes</li></ol>
أبجور|أبجورات|ʔabajūr	<i>noun</i><br><ol><li>bedside lamp</li></ol>
أبدا|ʔabda|ʔabadan	<i>adv</i><br><ol><li>never</li><li>(obsolete) never</li></ol>
أبط|أبطين|ʔabṭ	<i>noun</i><br><ol><li>armpit</li></ol>
أتاي|ʔatāy|tāy|تاي	<i>noun</i><br><ol><li>tea</li></ol>
أتت|yʔattat|أتّتوا|ʔattat|أتّتتوا|أتّتت|يأتت|نأتّتوا|تأتّتوا|تأتّتي|أتّتتي|يأتّتوا|أتّت|نأتّت|يأتّت|تأتّت|أتّتنا|أتّتي	<i>verb</i><br><ol><li>to furnish</li></ol>
أخ|خا|ḵū|خاوة|ʔaḵḵ|ḵā|أخت|خوت|خو	<i>noun</i><br><ol><li>brother, male sibling</li></ol>
أخطبوط|أخطبوطات|خطابط|ʔuḵṭubūṭ	<i>noun</i><br><ol><li>octopus</li></ol>
أدن|ودّنت|أدّننا|ودن|يودّنوا|تأدّنوا|ودّنتوا|تودّني|يأدن|تأدّن|waddan|نودّن|ودّن|ywaddan|تودّن|yʔaddan|يودن|أدّنتوا|تودّنوا|أدّن|ودّننا|نودّنوا|تأدّني|ودّنوا|أدّنت|يأدّن|يودّن|ودّنتي|نأدّنوا|ودّني|أدّنوا|ʔaddan|نأدّن|أدّني|يأدّنوا|أدّنتي	<i>verb</i><br><ol><li>to call to prayer</li></ol>
أستاد|أساتْدَة|ʔustād|أساتِدَة|أستادة	<i>noun</i><br><ol><li>professor; teacher</li><li>title of courtesy commonly given to individuals of high education or learning, best translated simply as mister</li></ol>
أش|ʔaš	<i>adv</i><br><ol><li>(interrogative) what</li></ol>
أشكون|ʔaškūn	<i>adv</i><br><ol><li>(interrogative) who?</li></ol>
أشمن|ʔašmen	<i>adv</i><br><ol><li>(interrogative) which?</li></ol>
أشنو|ʔašnu	<i>adv</i><br><ol><li>(interrogative) what?</li></ol>
ألف|آلاف|ʔalf|ألفَيْن|ألفِين	<i>num</i><br><ol><li>thousand</li></ol>
ألفين|ʔalfīn|ألفَيْن|ʔalfayn|ألفِين	<i>num</i><br><ol><li>two thousand</li></ol>
أما|ʔamma	<i>conj</i><br><ol><li>as for</li><li>but</li></ol>
أنا|ʔana	<i>adv</i><br><ol><li>(interrogative) which?</li></ol>
أول|أولين|ʔawwal|أولة|أولات|أوائل|أولى	<i>adj</i><br><ol><li>first</li></ol>
أي|ʔayy	<i>det</i><br><ol><li>any</li></ol>
