Barbapedana	<i>name</i><br><ol><li>Nickname for a popular street singer named Enrico Molaschi, and later a nickname for all similar street performers in Milan.</li></ol>
Bias	<i>name</i><br><ol><li>Equivalent of male English given name Blaise (and its doublet Blasius)</li></ol>
Danimarca	<i>name</i><br><ol><li>Denmark (a country in Europe)</li></ol>
Dublin	<i>name</i><br><ol><li>Dublin (the capital city of Ireland)</li></ol>
Gjapon|Japon	<i>name</i><br><ol><li>Japan</li></ol>
Milan	<i>name</i><br><ol><li>Milan (the capital city of Lombardy, Italy)</li><li>Milan (a metropolitan city of Lombardy, Italy)</li></ol>
aart	<i>noun</i><br><ol><li>art</li></ol>
abecedari	<i>noun</i><br><ol><li>primer, spelling book</li></ol>
abecee	<i>noun</i><br><ol><li>alphabet</li></ol>
abet	<i>noun</i><br><ol><li>religious habit (clothing)</li></ol>
acqua|acqu	<i>noun</i><br><ol><li>water</li><li>rain</li></ol>
adorà	
agost	<i>name</i><br><ol><li>August</li></ol>
agust	<i>name</i><br><ol><li>August</li></ol>
aj|ai	<i>noun</i><br><ol><li>garlic</li></ol>
alt	<i>adj</i><br><ol><li>high</li></ol>
altar	<i>noun</i><br><ol><li>altar</li></ol>
alter	<i>adj</i><br><ol><li>other</li></ol>
alzà|alzarà|alzèmm|alzàvi|alzarìssom|alzàssen|alzàvov|alzàss|alzaróm|alzìghes|alzàe|alzarét|àlzes|alzee|alzaróo|alzàsset|alzarànn|alzìf|alzàndo|àlze|alzàem|alzómm|alzàt|àlzom|alzàven|alzii|alzì|alzèsef|alzàssov|alzarìom|alzès|alzóm|alzarèsef|alzómes|alzànd|àlza|alzàa|alzàvom|alzarii|alzàva|alzàef|alzaró|alzarìf|alzaré|alzarìsset|alzarès|alzàet|alzèse|alzàssom|alzarìen|alzarìssen|alzarìssov|alzarìov|àlzov|alzarìa|alzarèsem|alzèset|àlzet|alzarèset|àlzi|àlzen|alzarìssi|alzarìet|alzarìss|alzàssi|alzàvet|alzèsem|alzarèmm|alzarèse	<i>verb</i><br><ol><li>to lift</li></ol>
amar	<i>verb</i><br><ol><li>bitter</li></ol>
amis|amisa	<i>noun</i><br><ol><li>friend</li></ol>
amà|amaró|amarìssen|amàe|amès|amàet|amìghes|amàssov|amarìss|amarès|amarìen|amàven|amómm|amàss|amarìssi|amee|àme|amàsset|amàt|amaré|amarii|amarìom|amarìov|amarìssov|amàndo|amèmm|amàa|amarèsem|amàssen|amàssom|amì|àmen|amàef|amarét|amarànn|amèsem|amarìa|amàem|amàvi|amèsef|amèse|amèset|àmov|àmom|àmi|amarèsef|amaróo|àma|amarèset|amàvet|amarìet|amarìf|amarèse|amàssi|amóm|amómes|amarèmm|amànd|amii|amàva|amàvom|àmes|àmet|amàvov|amarìssom|amaróm|amìf|amarà|amarìsset	<i>verb</i><br><ol><li>to love</li></ol>
amór	<i>noun</i><br><ol><li>love</li></ol>
anca	<i>adv</i><br><ol><li>also</li></ol>
andà	<i>verb</i><br><ol><li>to go</li></ol>
aneda	<i>noun</i><br><ol><li>duck</li></ol>
anell	<i>noun</i><br><ol><li>ring</li></ol>
ann|agn	<i>noun</i><br><ol><li>year</li></ol>
arpa	<i>noun</i><br><ol><li>harp</li></ol>
arzella	<i>noun</i><br><ol><li>shell</li></ol>
ascoltà	<i>verb</i><br><ol><li>to listen</li></ol>
asee	<i>noun</i><br><ol><li>vinegar</li></ol>
assa	<i>noun</i><br><ol><li>axis, axle</li></ol>
assee	<i>adv</i><br><ol><li>enough (sufficiently)</li></ol>
avert	<i>adj</i><br><ol><li>open (not closed)</li></ol>
avi	<i>noun</i><br><ol><li>bee</li></ol>
avè|éren|avarànn|avarìa|avarìss|avèssov|avarii|érom|avèssen|avarìsset|éra|hét|avéva|àbia|avarìssi|avarà|hoo|hann|érov|éven|avèsset|àbiom|àbi|avìi|avarèmm|avarìom|avaré|avèssom|avévet|avèssi|évi|avarìssov|évom|avévi|évet|avéven|avaróo|éri|avévov|avarét|àbiet|àbien|avarìssen|hà|hii|avèss|avùu|hèmm|éva|avarìov|àbiov|avarìssom|avarìet|hé|avévom|évov|avarìen|avénd|éret	<i>verb</i><br><ol><li>to have</li></ol>
azzal	<i>noun</i><br><ol><li>steel</li></ol>
bagn	<i>noun</i><br><ol><li>bath</li></ol>
bagnà|bagnàem|bagnarìf|bagnàvom|bagnarìsset|bagnàt|bàgne|bagnàssov|bagnómes|bagnarèse|bagnarét|bagnàvov|bàgnes|bagnèset|bàgnov|bagnàndo|bagnìf|bagnarii|bagnèmm|bagnaróm|bagnarìov|bagnèsem|bagnarìssov|bagnàva|bagnàvet|bagnàe|bagnàet|bagnàssom|bàgnet|bagnarès|bagnès|bagnàef|bagnàa|bagnómm|bagnaré|bagnàss|bagnì|bàgna|bàgnom|bagnaróo|bagnàsset|bagnànd|bagnarèmm|bagnàssi|bagnarèsef|bàgnen|bagnarìa|bagnii|bagnarànn|bagnarìssom|bagnarà|bagnarìssen|bagnàssen|bagnarìom|bagnóm|bagnaró|bagnìghes|bagnèse|bagnarìen|bagnarèset|bagnàvi|bàgni|bagnarìet|bagnarìssi|bagnarìss|bagnèsef|bagnàven|bagnee|bagnarèsem	<i>verb</i><br><ol><li>to bathe</li></ol>
baià|bàiov|baiàvom|baiarèmm|bàiet|baiàt|baiarèse|baiàa|baiarìssen|bàien|baiàven|baiaró|baièsef|bàii|baiì|baiarìet|baiàssom|baiarìss|baiàss|baiàssi|baièmm|baiarìf|bàia|baiàvi|baiarèsem|bàies|baiarìssi|baiee|baiàet|baiarà|bàiom|baiarìssov|baiarìa|baiàvov|baiàssov|baióm|baiàef|baiàva|baiaróm|baiarès|baiarìov|baiarèset|baiàem|baiìf|baiómes|baiarìssom|baiès|baiàvet|baiarìen|baiii|baiómm|baiarànn|baiarii|baiarét|baiàsset|bàie|baiaróo|baiarìom|baiànd|baiàndo|baièse|baiaré|baièset|baiìghes|baiàe|baiàssen|baièsem|baiarèsef|baiarìsset	<i>verb</i><br><ol><li>to bark</li></ol>
bambó	<i>noun</i><br><ol><li>bamboo</li></ol>
barba	<i>noun</i><br><ol><li>beard</li></ol>
bass	<i>adj</i><br><ol><li>low</li></ol>
basà|basarìen|basàef|basarìom|basàva|basarìss|basii|basàa|basaré|basarét|bàses|basàndo|basàvov|bàsov|basee|basànd|basì|basàvet|basàvi|basarìa|basàt|basàet|basàven|basàssom|basarèset|basarìssov|basarìssen|basarìf|basàe|bàsi|basèsef|basarà|basaróm|basarii|basaróo|basómes|basès|basèsem|basàsset|basàssov|basàssen|basarìssom|basarìsset|basómm|basàss|basarèsef|basarìet|basàem|basàssi|basarès|basìf|bàsom|basarìssi|basèset|bàsa|basarìov|basèmm|basarànn|basaró|basarèse|basarèsem|basàvom|bàsen|basarèmm|bàset|basèse|basóm|basìghes|bàse	<i>verb</i><br><ol><li>to kiss</li></ol>
batt	<i>verb</i><br><ol><li>to beat</li></ol>
ben	<i>adv</i><br><ol><li>well</li></ol>
bev	<i>verb</i><br><ol><li>to drink</li></ol>
bianch	<i>adj</i><br><ol><li>white</li></ol>
biott	<i>adj</i><br><ol><li>naked</li></ol>
bisogn	<i>noun</i><br><ol><li>need</li></ol>
bombon	<i>noun</i><br><ol><li>candy, sweet, dessert</li></ol>
bosch	<i>noun</i><br><ol><li>wood, forest</li></ol>
brazz	<i>noun</i><br><ol><li>arm (body part)</li></ol>
brugna	<i>noun</i><br><ol><li>plum</li></ol>
brusch	<i>adj</i><br><ol><li>sour</li></ol>
brusà	<i>verb</i><br><ol><li>burn</li></ol>
bröö	<i>noun</i><br><ol><li>broth</li></ol>
