A|a	<i>character</i><br><ol><li>The first letter of the Crimean Tatar alphabet, written in the Latin script.</li></ol>
Almaniya	<i>name</i><br><ol><li>Germany</li></ol>
Avropa Birligi	<i>name</i><br><ol><li>European Union</li></ol>
Avstriya	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Belçika	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Birinci Cian cenki	<i>name</i><br><ol><li>World War I (the First World War)</li></ol>
Bizans İmperiyası|Bizans İmperiyasından|Bizans İmperiyasında|Bizans İmperiyasınıñ|Bizans İmperiyasını|Bizans İmperiyasına	<i>name</i><br><ol><li>Byzantine Empire</li></ol>
Bulğaristan	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Cezair	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Danimarka	<i>name</i><br><ol><li>Denmark</li></ol>
Ekinci Cian cenki|Экинджи Джиан дженки	<i>name</i><br><ol><li>World War II (the Second World War)</li></ol>
Ermenistan	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Estoniya	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Finlandiya	<i>name</i><br><ol><li>Finland (a country in Europe)</li></ol>
Frenkistan	<i>name</i><br><ol><li>France</li></ol>
Keniya	<i>name</i><br><ol><li>Kenya (a country in Africa)</li></ol>
Lehistan	<i>name</i><br><ol><li>Poland</li></ol>
Libiya	<i>name</i><br><ol><li>Libya (a country in Africa)</li></ol>
Litvaniya	<i>name</i><br><ol><li>Lithuania (a country in Europe)</li></ol>
Lübnan	<i>name</i><br><ol><li>Lebanon (a country in Asia)</li></ol>
Merih|Merihke|Merihte|Merihten|Merihniñ|Merihni	<i>noun</i><br><ol><li>Mars (planet)</li></ol>
Müşteri|Müşteride|Müşteriniñ|Müşterige|Müşterini|Müşteriden	<i>noun</i><br><ol><li>Jupiter (planet)</li></ol>
Pashalya	<i>noun</i><br><ol><li>Easter</li></ol>
Qaraqalpaqistan|Къаракъалпакъистан	<i>name</i><br><ol><li>Karakalpakstan</li></ol>
Qırım|Qirim	<i>name</i><br><ol><li>Crimea (peninsula)</li></ol>
Qırım yarımadası	<i>name</i><br><ol><li>Crimean peninsula</li></ol>
Qırımtatar	<i>noun</i><br><ol><li>Crimean Tatar</li></ol>
Qırımtatarca	<i>adv</i><br><ol><li>Crimean Tatar</li></ol>
Renessans|Renessansqa|Renessanstan|Renessansnıñ|Renessansta|Renessansnı	<i>noun</i><br><ol><li>Renaissance.</li></ol>
Romaniya|Romaniyağa|Romaniyadan|Romaniyanı|Romaniyanıñ|Romaniyada	<i>name</i><br><ol><li>Romania.</li></ol>
Rumıniya|Rumıniyada|Rumıniyağa|Rumıniyanı|Rumıniyanıñ|Rumıniyadan	<i>name</i><br><ol><li>Romania.</li></ol>
Rusiye	<i>name</i><br><ol><li>Russia</li></ol>
Saturn|Saturnnıñ|Saturnğa|Saturnnı|Saturndan|Saturnda	<i>name</i><br><ol><li>Saturn (planet)</li></ol>
Slovakiya	<i>name</i><br><ol><li>Slovakia (a country in Europe)</li></ol>
Sloveniya	<i>name</i><br><ol><li>Slovenia (a country in Europe)</li></ol>
Somaliya	<i>name</i><br><ol><li>Somalia (a country in Africa)</li></ol>
