abhijñe	<i>noun</i><br><ol><li>higher knowledge.</li></ol>
aci	<i>adv</i><br><ol><li>starting with</li><li>hither, to here</li></ol>
aghaniṣṭh	<i>noun</i><br><ol><li>Aghaniṣṭha, a class of gods, the fifth and highest class of the Śuddhāvāsakāyika deities.</li></ol>
ak	<i>noun</i><br><ol><li>eye</li></ol>
akmal	<i>noun</i><br><ol><li>face</li></ol>
akri	<i>adj</i><br><ol><li>shameless</li></ol>
akritär	<i>adj</i><br><ol><li>round</li><li>full</li></ol>
akäṃtsune	<i>noun</i><br><ol><li>possession</li></ol>
akāl	<i>noun</i><br><ol><li>wish</li></ol>
anapär	<i>adv</i><br><ol><li>before, in front of, in the presence of</li></ol>
ane	<i>adv</i><br><ol><li>inside, within, herein</li></ol>
antuṣ	<i>conj</i><br><ol><li>then, thereupon</li></ol>
appärmāt	<i>noun</i><br><ol><li>mistreatment</li></ol>
apälkāt	<i>adj</i><br><ol><li>carefree, unworried, unheeding, unconcerned</li></ol>
arkant	<i>adj</i><br><ol><li>black, dark</li></ol>
arkäts	<i>adv</i><br><ol><li>painfully</li></ol>
asaṃkhye	<i>noun</i><br><ol><li>an incalculably long period of time</li></ol>
asinät	<i>adj</i><br><ol><li>insatiable, unsatisfied</li></ol>
asäl	<i>noun</i><br><ol><li>post (of wood)</li></ol>
ats	<i>particle</i><br><ol><li>indeed, truly, (as an emphatic particle)</li></ol>
atsaṃ	<i>adv</i><br><ol><li>indeed, truly, in fact</li></ol>
atär	<i>noun</i><br><ol><li>hero</li></ol>
atäṅkät	<i>adj</i><br><ol><li>unchecked, unhampered</li></ol>
añcu	<i>noun</i><br><ol><li>iron</li></ol>
añcäl	<i>noun</i><br><ol><li>bow (weapon for firing arrows)</li></ol>
añumāski	<i>adj</i><br><ol><li>astounding, amazing, wonderful</li></ol>
aśi	<i>noun</i><br><ol><li>nun</li></ol>
aṃśär	<i>adj</i><br><ol><li>stumbling, tripping, unsteady</li></ol>
bodʰisattu	<i>noun</i><br><ol><li>(Buddhism) a bodhisattva</li></ol>
ckācar	<i>noun</i><br><ol><li>daughter</li></ol>
cmol	<i>noun</i><br><ol><li>birth</li></ol>
ehe	<i>intj</i><br><ol><li>hello</li></ol>
ekro	<i>adj</i><br><ol><li>poor (lacking wealth)</li></ol>
ekrorñe	<i>noun</i><br><ol><li>poverty</li></ol>
ekär	<i>adj</i><br><ol><li>empty</li></ol>
empele	<i>noun</i><br><ol><li>terrible, horrible, dreadful, awful</li></ol>
entsāl	<i>noun</i><br><ol><li>handle, grip</li></ol>
enäk	<i>adj</i><br><ol><li>common, base-born</li></ol>
epe	<i>conj</i><br><ol><li>or</li></ol>
eprer	<i>noun</i><br><ol><li>sky, firmament</li><li>atmosphere</li></ol>
es	<i>noun</i><br><ol><li>shoulder</li><li>bough, limb (of a tree)</li><li>branch of a particular matter</li></ol>
ewär	<i>adj</i><br><ol><li>wild</li></ol>
eṃts	<i>noun</i><br><ol><li>selfishness, greed</li></ol>
