Ё|Yo|yo|ё	<i>character</i><br><ol><li>The seventh letter of the Kyrgyz alphabet, called ё (yo), and written in the Cyrillic script.</li></ol>
А|а|a	<i>character</i><br><ol><li>The first letter of the Kyrgyz alphabet, called а (a), and written in the Cyrillic script.</li></ol>
АКШ|АКШыңыз|AQŞ|АКШыңды|АКШыңа|АКШыңыздан|АКШың|АКШыңызды|АКШымды|АКШыңда|АКШымдан|АКШыңдын|АКШыма|АКШым|АКШыңдан|АКШымда|АКШыңызга|АКШтын|АКШка|АКШыңызда|АКШыңыздын|АКШта|АКШты|АКШымдын|АКШтан	<i>name</i><br><ol><li>Acronym of Америка Кошмо Штаттары (Amerika Qoşmo Ştattarı, “United States of America”).; USA</li></ol>
Абужа|Abujada|Абужаңдан|Абужаңыздын|Абужаңыздан|Абужанын|Abujanı|Абужамда|Abujağa|Абужаңызды|Абужаңды|Абужаңызга|Абужаңыз|Абужаны|Абужам|Абужамды|Абужада|Абужаңдын|Абужамдын|Abuja|Абужаңда|Abujanın|Абужага|Абужамдан|Абужаң|Abujadan|Абужама|Абужаңа|Абужадан|Абужаңызда	<i>name</i><br><ol><li>Abuja (the capital of Nigeria)</li></ol>
Австралия|Австралияңа|Австралиямдан|Австралиядан|Австралияңыздын|Австралияңда|Австралияда|Avstraliyada|Австралиям|Avstraliyanı|Австралиямда|Австралияңызда|Австралияңызга|Avstraliyağa|Австралияңдын|Австралияңызды|Avstraliyanın|Австралияңыздан|Австралияңды|Avstraliyadan|Австралияң|Австралияңыз|Австралиянын|Австралияга|Австралиямды|Австралияңдан|Австралияны|Австралияма|Avstraliya|Австралиямдын	<i>name</i><br><ol><li>Australia (a country in Oceania)</li><li>Australia (a continent)</li></ol>
Австрия|Австрияң|Avstriyadan|Австриямдын|Австриямдан|Австрияңа|Австриямды|Австрияңызды|Австрияңызда|Австрияны|Австрияда|Австрияма|Австрияңыз|Австрияңдан|Австрияңыздын|Австрияга|Австриянын|Австриям|Австриядан|Австрияңды|Австрияңыздан|Avstriyanın|Австрияңдын|Австрияңызга|Avstriya|Австриямда|Avstriyanı|Avstriyağa|Avstriyada|Австрияңда	<i>name</i><br><ol><li>Austria (a country in Central Europe; capital: Vienna)</li></ol>
Азия|Азиямды|Азияңыздын|Азияңызда|Азияңда|Азияңдын|Aziyanın|Азияма|Aziyada|Азиядан|Азияңыз|Азияңа|Азияң|Азияңды|Aziyadan|Aziya|Aziyağa|Азиямдан|Азияңдан|Азиямда|Aziyanı|Азиям|Азиянын|Азияңызга|Азияга|Азияны|Азиямдын|Азияңыздан|Азияңызды|Азияда	<i>name</i><br><ol><li>Asia (a continent)</li></ol>
Ак-Жар|Ак-Жарымды|Ак-Жарымдын|Aq-Jardın|Ак-Жарым|Ак-Жарды|Ак-Жардан|Ак-Жарымда|Ак-Жарыңыздын|Ак-Жарыңда|Aq-Jardan|Ак-Жарың|Ак-Жарыңыз|Ак-Жарыңызга|Aq-Jarda|Ак-Жарыма|Aq-Jar|Ак-Жарыңа|Ак-Жарыңды|Ак-Жарыңдын|Ак-Жарыңызда|Ак-Жардын|Ак-Жарымдан|Aq-Jarğa|Aq-Jardı|Ак-Жарыңдан|Ак-Жарыңыздан|Ак-Жарга|Ак-Жарда|Ак-Жарыңызды	<i>name</i><br><ol><li>Ak-Jar (a village in the Toktogul District, Jalal-Abad Region, Kyrgyzstan)</li><li>Ak-Jar (a village in the At-Bashy District, Naryn Region, Kyrgyzstan)</li><li>Ak-Jar (a village in the Kochkor District, Naryn Region, Kyrgyzstan)</li><li>Ak-Jar (a village in the Kara-Suu District, Osh Region, Kyrgyzstan)</li><li>Ak-Jar (a village in the Uzgen District, Osh Region, Kyrgyzstan)</li><li>Ak-Jar (a village in the Kara-Buura District, Talas Region, Kyrgyzstan)</li><li>Ak-Jar (a village in the Talas District, Talas Region, Kyrgyzstan)</li></ol>
Акмечит|Акмечитимден|Акмечиттин|Акмечитиңизге|Aqmeçit|Акмечитимди|Акмечитте|Акмечитиңден|Акмечитим|Акмечитиме|Акмечитиңизден|Акмечитти|Акмечитке|Акмечитимдин|Акмечитиңиздин|Акмечитиң|Акмечитиңизди|Акмечитиңизде|Акмечитиңди|Акмечитимде|Акмечитиңде|Акмечитиңдин|Акмечиттен|Акмечитиңиз|Акмечитиңе	<i>name</i><br><ol><li>Simferopol (a city in Ukraine)</li></ol>
Аманбаев|Аманбаевиңди|Аманбаевиңиздин|Аманбаевдеримдин|Amanbayevden|Аманбаевдериң|Аманбаевиңиз|Аманбаевдериңди|Amanbayevder|Аманбаевимде|Аманбаевиңдин|Аманбаевиңден|Аманбаевиңизде|Аманбаевдериңден|Amanbayevderdi|Amanbayevderge|Аманбаевдерди|Аманбаевдериңизде|Аманбаевиме|Amanbayevde|Аманбаевимдин|Аманбаевиңизден|Аманбаевдериңиздин|Аманбаевде|Аманбаев|Аманбаевиңизди|Аманбаевдериңдин|Аманбаевиң|Аманбаевдериме|Аманбаевге|Amanbayevderde|Аманбаевди|Аманбаевимди|Аманбаевимден|Аманбаевдерде|Amanbayevdi|Amanbayev|Аманбаевиңизге|Аманбаевдеримден|Аманбаевдериңде|Amanbayevderdin|Amanbayevdin|Аманбаевдериңизден|Amanbayevge|Аманбаевдеримди|Аманбаевдер|Аманбаевдин|Аманбаевим|Аманбаевдериңизди|Аманбаевдериңизге|Аманбаевдерге|Аманбаевдердин|Аманбаевдерим|Аманбаевдеримде|Аманбаевдерден|Аманбаевиңе|Аманбаевден|Аманбаевдериңе|Аманбаевдериңиз|Amanbayevderden|Аманбаевиңде	<i>name</i><br><ol><li>Amanbayevo (a village in the Kara-Buura District, Talas Region, Kyrgyzstan)</li></ol>
