A	<i>character</i><br><ol><li>The first letter of the Corsican alphabet, called a and written in the Latin script.</li></ol>
Africa	<i>name</i><br><ol><li>Africa (a continent)</li></ol>
Aiacciu	<i>name</i><br><ol><li>Ajaccio (the capital and largest city of Corsica, France)</li></ol>
Arabia	<i>name</i><br><ol><li>Arabia</li></ol>
Asia	<i>name</i><br><ol><li>Asia (a continent)</li></ol>
Atene|Ateni	<i>name</i><br><ol><li>Athens (the capital of Greece)</li></ol>
Belgica	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Chj	<i>character</i><br><ol><li>The fourth letter of the Corsican alphabet, written in the Latin script.</li></ol>
Cina	<i>name</i><br><ol><li>China (a country in Asia)</li></ol>
Corsica	<i>name</i><br><ol><li>Corsica</li></ol>
Dalaï Lama	<i>noun</i><br><ol><li>(Tibetan Buddhism) Dalai Lama</li></ol>
Danimarca	<i>name</i><br><ol><li>Denmark (a country in Europe)</li></ol>
Diu|Dio	<i>name</i><br><ol><li>(Christianity) God</li></ol>
Dublinu	<i>name</i><br><ol><li>Dublin (the capital of Ireland)</li></ol>
FLNC	<i>name</i><br><ol><li>(politics) Initialism of “Fronte di liberazione naziunale corsu” or “Fronte di liberazione naziunale di a Corsica” (“National Liberation Front of Corsica”). A militant organization from Corsica, France.</li></ol>
Francia	<i>name</i><br><ol><li>France</li></ol>
Genuva	<i>name</i><br><ol><li>Genoa</li></ol>
Ghj	<i>character</i><br><ol><li>The ninth letter of the Corsican alphabet, written in the Latin script.</li></ol>
Giappone	<i>name</i><br><ol><li>Japan</li></ol>
Inghilterra	<i>name</i><br><ol><li>England</li></ol>
Irlanda	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
Kazakistan	<i>name</i><br><ol><li>Kazakhstan (a country in Asia)</li></ol>
Leida	<i>name</i><br><ol><li>Leiden (a city in South Holland, Netherlands)</li></ol>
Lettonia	<i>name</i><br><ol><li>Latvia</li></ol>
Maroccu	<i>name</i><br><ol><li>Morocco (a country in Africa)</li></ol>
Paesi Bassi	<i>name</i><br><ol><li>Netherlands (a country in Europe)</li></ol>
Parighji|Pariggi	<i>name</i><br><ol><li>Paris (the capital and largest city of France)</li></ol>
Portugallu	<i>name</i><br><ol><li>Portugal (a country in Europe)</li></ol>
Rumenia	<i>name</i><br><ol><li>Romania</li></ol>
San Marinu	<i>name</i><br><ol><li>San Marino (a country in Europe)</li></ol>
Sardegna	<i>name</i><br><ol><li>Sardinia (a region of Italy)</li></ol>
URSS	<i>name</i><br><ol><li>USSR</li></ol>
Vermont	<i>name</i><br><ol><li>Vermont (a state of the United States)</li></ol>
Wikizziunariu	<i>name</i><br><ol><li>Wiktionary</li></ol>
a|li|le|e|lu|i|la|a|u	<i>article</i><br><ol><li>the (feminine)</li></ol><br><i>pron</i><br><ol><li>her, it (direct object)</li></ol>
