ࢳ|ṅa	<i>character</i><br><ol><li>The twenty-fifth letter of the Tamil in Arwi script.</li></ol>
ࢴ|ga	<i>character</i><br><ol><li>The thirty-first letter of the Tamil in Arwi script.</li><li>The letter from Pegon script.</li></ol>
ஃ|ḥ	<i>character</i><br><ol><li>a special letter in Tamil known previously as mupparpulli or thaninilai and in modern Tamil as aytam. Historically used as bridging letter for a short vowel and a hard consonant, it has now mostly lost its traditional usage and used as a diacritic with certain consonants like ப 'pa' to form ஃப 'fa', ஜ 'ja' to form ஃஜ 'za', ஸ 'sa' to form ஃஸ 'xa' , and க 'ka' to form ஃக 'kha'. On its own, it is pronounced as 'ugh' or 'ah' like a visarga.</li></ol>
அ|a	<i>character</i><br><ol><li>The first vowel in Tamil.</li></ol>
அஃகம்|aḥkam	<i>noun</i><br><ol><li>grain</li><li>spring water</li><li>course of action</li><li>latitude</li></ol>
அஃறிணை|aḥṟiṇai	<i>noun</i><br><ol><li>(grammar) irrational nouns or pronouns denoting things that are not considered human, like animals, birds and trees</li></ol>
அகங்காரம்|அகங்காரத்துக்காக|அகங்காரத்துடைய|அகங்காரமே|அகங்காரத்தை|அகங்காரத்தால்|அகங்காரத்திலிருந்து|அகங்காரத்தோடு|அகங்காரத்துடன்|அகங்காரத்தின்|அகங்காரத்தில்|akaṅkāram|அகங்காரத்திடம்|அகங்காரத்துக்கு	<i>noun</i><br><ol><li>anger</li><li>arrogance, conceit, haughtiness</li><li>self-love, egotism</li></ol>
அகங்கை|akaṅkai	<i>noun</i><br><ol><li>palm (of a hand)</li></ol>
அகதி|akatikaḷ|அகதிகள்|akati	<i>noun</i><br><ol><li>refugee, one without resources or friends, destitute person</li></ol>
அகத்தாழம்|akattāḻam	<i>noun</i><br><ol><li>evening</li></ol>
அகத்துக்காரர்|akattukkārar	<i>noun</i><br><ol><li>husband (as owner of the house)</li></ol>
அகத்துக்காரி|akattukkāri	<i>noun</i><br><ol><li>wife</li></ol>
அகந்தை|அகந்தையோடு|அகந்தையை|அகந்தையே|அகந்தையால்|அகந்தைக்காக|அகந்தைக்கு|அகந்தையில்|அகந்தையுடன்|அகந்தையுடைய|அகந்தையிலிருந்து|akantai|அகந்தையின்|அகந்தையிடம்	<i>noun</i><br><ol><li>arrogance, conceit, haughtiness</li></ol>
அகனன்|அகனர்களோடு|அகனர்களின்|அகனனுடைய|அகனர்களிடம்|அகனர்களுக்காக|அகனர்களிலிருந்து|அகனனால்|அகனர்களுடைய|அகனர்களுடன்|அகனனே|அகனர்களால்|அகனனுக்கு|akaṉaṉ|அகனனிலிருந்து|அகனனிடம்|அகனர்களில்|அகனனுக்காக|அகனனை|அகனர்கள்|அகனனின்|அகனனோடு|அகனர்களுக்கு|அகனனுடன்|அகனர்களே|அகனனில்|அகனர்களை	<i>noun</i><br><ol><li>a homosexual man; gay</li></ol>
அகனள்|akaṉaḷ	<i>noun</i><br><ol><li>a woman who feels sexual and/or romantic attraction towards another woman; lesbian</li></ol>
அகப்படு|அகப்படுகிறீர்கள்|அகப்படுகிறேன்|அகப்படுவார்கள்|அகப்படுகிறவை|அகப்படாதீர்கள்|அகப்பட்டவை|அகப்பட்டாய்|அகப்படுவது|அகப்படுவாள்|அகப்படுகிறார்கள்|அகப்படாதே|அகப்படுகிறான்|அகப்படமாட்டான்|அகப்படாமல் இருக்கலாம்|அகப்படாதவர்|அகப்படமாட்டீர்கள்|அகப்படுகிறவர்|அகப்படுகிறாய்|அகப்பட்டது|அகப்படாத|அகப்படுவீர்கள்|அகப்பட்டேன்|அகப்படட்டும்|அகப்படுகிற|அகப்பட்டார்|அகப்படுதல்|அகப்படுங்கள்|அகப்படமாட்டேன்|அகப்படுகிறவள்|அகப்படமாட்டோம்|அகப்படுபவர்கள்|அகப்படலாம்|அகப்பட்டால்|அகப்படுவன|அகப்படுவார்|அகப்படமாட்டார்|அகப்படுவதால்|அகப்படாவிட்டால்|அகப்பட்டான்|அகப்பட்டவள்|அகப்படும்|அகப்படுபவன்|அகப்பட்டவர்கள்|அகப்படுபவர்|அகப்படுவான்|அகப்படுகிறது|அகப்பட|அகப்பட்டவர்|அகப்படாது|அகப்படாமல்|அகப்படாதவன்|அகப்படாதது|அகப்பட்டார்கள்|அகப்பட்டீர்கள்|அகப்படா|அகப்படுகிறாள்|அகப்படுகிறவன்|அகப்படுபவள்|அகப்படமாட்டாள்|அகப்படுகிறார்|அகப்படாமல் இருக்கட்டும்|அகப்பட்டோம்|அகப்பட்ட|அகப்படுவேன்|அகப்பட்டு|அகப்படுகிறவர்கள்|அகப்படாமல் இருக்க|அகப்படமாட்டாய்|அகப்படுபவை|அகப்படவில்லை|அகப்படுவோம்|அகப்படாதவள்|அகப்படுகின்றன|அகப்படமாட்டார்கள்|அகப்படுகிறோம்|அகப்படாதவை|அகப்பட்டாள்|அகப்படாத்தால்|அகப்பட்டவன்|அகப்படாதவர்கள்|அகப்பட்டன|அகப்படல்|akappaṭu|அகப்படுவாய்	<i>verb</i><br><ol><li>to get caught</li><li>to be entangled</li><li>to be brought under ones influence, become subordinate</li><li>to be obtained</li></ol>
அகப்பா|akappā	<i>noun</i><br><ol><li>fortified wall, wall of a fort or fortress</li><li>mound with inner fortifications</li><li>ditch around a fort</li></ol>
அகப்பு|akappu	<i>noun</i><br><ol><li>depth</li></ol>
அகப்பை|akappai	<i>noun</i><br><ol><li>paddle, ladle</li><li>(historical) a long serving spoon made of coconut shell for the scoop and wood for the handle.</li></ol>
அகமமரம்|akamamaram	<i>noun</i><br><ol><li>panicled babool, white-bark acacia, Vachellia leucophloea</li></ol>
அகம்|அகத்திலிருந்து|அகங்களுடன்|அகத்துக்கு|அகங்களிடம்|அகங்களை|அகங்களே|akam|அகத்துடைய|அகத்துடன்|அகத்தால்|அகத்திடம்|அகங்களின்|அகங்களில்|அகத்தின்|அகங்களிலிருந்து|அகத்துக்காக|அகங்கள்|அகமே|அகங்களோடு|அகங்களுடைய|அகங்களுக்கு|அகத்தை|அகங்களால்|அகங்களுக்காக|அகத்தோடு|அகத்தில்	<i>noun</i><br><ol><li>house, place</li><li>akam (a genre of Tamil love-themed poem)</li><li>internal, inside (e.g., inside oneself); one’s body and mind, the opposite of புறம் (puṟam, “external/exterior”)</li><li>(anatomy) breast</li><li>country</li><li>ether</li></ol>
அகரமுதலி|akaramutali	<i>noun</i><br><ol><li>dictionary</li></ol>
அகரம்|akaram	<i>noun</i><br><ol><li>அ, the first letter of the Tamil alphabet.</li></ol>
அகரவரிசை|அகரவரிசையில்|அகரவரிசைகளே|அகரவரிசைகளை|அகரவரிசைகளிடம்|அகரவரிசைகளிலிருந்து|அகரவரிசைகளில்|அகரவரிசைகளால்|அகரவரிசையோடு|அகரவரிசையுடன்|அகரவரிசைக்காக|அகரவரிசைகளுக்கு|அகரவரிசையால்|அகரவரிசைகளுடன்|akaravaricai|அகரவரிசைகளுடைய|அகரவரிசைகளின்|அகரவரிசையை|அகரவரிசையின்|அகரவரிசைகளுக்காக|அகரவரிசைகளோடு|அகரவரிசையுடைய|அகரவரிசைகள்|அகரவரிசைக்கு|அகரவரிசையிடம்|அகரவரிசையிலிருந்து|அகரவரிசையே	<i>noun</i><br><ol><li>alphabet</li></ol>
