Bådåddjo|Bådåddjoska|Bådåddjut|Bådådjodagá|Bådådjov|Bådåddjuj|Bådådjodagi|Bådådjon|Bådåddjos|Bådåddjuda|Bådådjo|Bådåddjuma|Bådåddjum|Bådåddjosa|Bådådjos|Bådådjojn|Bådåddjon|Bådådjujn	<i>name</i><br><ol><li>Bodø (a city and municipality Norway)</li></ol>
Dálvvadis	<i>name</i><br><ol><li>Jokkmokk (a locality in Sweden)</li></ol>
Julevädno|Julevänojdagá|Julevädnoska|Julevädnosa|Julevänojn|Julevenujn|Julevänoj|Julevänov|Julevänojs|Julevednuj|Julevänojt|Julevädnon|Julevednum|Julevänojdagi|Julevänos|Julevänodagá|Julevänon|Julevänojda|Juleväno|Julevednuda|Julevednut|Julevänodagi|Julevednuma|Julevädnos	<i>name</i><br><ol><li>Lule (a river in Sweden)</li></ol>
Jåhkåmåhkke	<i>name</i><br><ol><li>Jokkmokk (a locality in Sweden)</li></ol>
Svierik|Svierigij|Svierigat|Svierigin|Svierigam|Svierigimme|Svierigiska|Svierigijn|Svierigadagi|Svierigadagá|Svierigit|Svierigisá|Svieriga|Svierigis|Svierigihtte|Svierigim|Svierigav	<i>name</i><br><ol><li>Sweden</li></ol>
Sábme|Sámedagá|Sábmes|Sábmáma|Sáme|Sábmesa|Sámedagi|Sábmáj|Sábmáda|Sábmám|Sábmát|Sámev|Sámijn|Sábmen|Sábmeska|Sámes|Sámen	<i>noun</i><br><ol><li>Lapland, the lands of the Sami</li></ol>
Vuodna|Vuodnas|Vuodnaj|Vuodnada|Vuodnaska|Vuonajn|Vuonas|Vuonav|Vuodnam|Vuonan|Vuonadagá|Vuonadagi|Vuodnan|Vuodnat|Vuona|Vuodnama|Vuodnasa	<i>name</i><br><ol><li>Norway</li></ol>
abáldit|abáldip|abáldittjaba|abáldibá|abáldaluluj|abáldalulujga|abáldittjin|abáldisá|abáldu|abáldunˈno|abáldittjabihtte|abáldihtit|abáldittja|abáldus|abáldinˈno|abáldup|abáldihtte|abáldiv|abáldittjap|abáldihppe|abáldihpit|abáldin|abáldiddje|abáldijda|abáldittjabihtit|abáldittjav|abáldittji|abált|abáldam|abáldijga|abáldij|abálduska|abáldusá|abálduhtuda|abáldisj|abáldalulujma|abálduhtut|abáldaluluv|abáldav|abáldis|abáldiska|abáldalulu|abáldi|abáldalulun|abáldalulujda|abáldijma|abálda	<i>verb</i><br><ol><li>to be pushy towards someone of the other sex</li></ol>
addjistit|addjistiddje|addjistittjin|addjistijda|addjistihppe|addjistij|addjistittji|addjistalulun|addjistup|addjistaluluj|addjistittja|addjistihtit|addjistisá|addjistalulu|addjisti|addjistittjap|addjista|addjistunˈno|addjistip|addjistinˈno|addjistittjaba|addjistibá|addjistijga|addjistaluluv|addjistu|addjistin|addjistittjabihtte|addjistittjav|addjistusá|addjistuska|addjis|addjistuhtuda|addjistihpit|addjistalulujga|addjistisj|addjistihtte|addjistalulujda|addjistuhtut|addjistam|addjistittjabihtit|addjistiska|addjistis|addjistiv|addjistus|addjistav|addjistalulujma|addjistijma	<i>verb</i><br><ol><li>to nap briefly</li></ol>
addjit|addjij|addjijip|addjijuhtuda|addjiji|addjijga|addjijda|addjitjihpit|addjijuhtut|addjitjihppe|addjitji|addjilulujma|addjijuska|addjilulujda|addjijunˈno|addjijisá|addjisj|addjiluluv|addjiv|addjilulujga|addjiba|addjiju|addjijiska|addjijup|addjilulu|addjijin|addjim|addjibihtit|addjitjibá|addjitjav|addjijihtit|addjijiv|addjijihtte|addjijiddje|addjijus|addjitja|addjibihtte|addjijinˈno|addjip|addjiluluj|addjijma|addjijusá|addjitjin|addji|addjilulun|addjitjip|addjijis	<i>verb</i><br><ol><li>to nap</li><li>to submerge</li></ol>
